Date,XLY,XLP,IWM,IWB,50,59
2016-5-27,0.004675587,0.001132773,0.009909355,0.000344207,0.002416433,0.003356834
2016-5-31,-0.00100905,-0.006435765,0.003484243,0.004292568,0.00721446,0.002008705
2016-6-1,-0.000631217,0.01020226,0.006759778,-0.001285834,0.008747571,0.015596799
2016-6-2,0.005540888,0.000375907,0.007657477,0.002655504,0,-0.012257897
2016-6-3,-0.006551608,0.006368125,-0.006017836,0.003416234,0.008671714,-0.003673405
2016-6-6,0.002524926,0.001119668,0.010721061,-0.003245081,0,0.003673405
2016-6-7,0.001260231,-0.001119668,0.002896182,0.005289192,0.00235202,0.013902905
2016-6-8,0.001132666,0.005956876,0.007373349,0.001275447,0.001564946,-0.006265478
2016-6-9,-0.002266836,0.003889995,-0.00643809,0.003223882,0.0015625,-0.017351119
2016-6-10,-0.010519086,0.000739253,-0.013690546,-0.001780332,0.013183595,0.008045635
2016-6-13,-0.005493404,-0.008348021,-0.010914864,-0.009549013,0.005378422,-0.00602815
2016-6-14,-0.002565305,0.003904383,-0.002878465,-0.008344523,-0.023256862,-0.017621601
2016-6-15,0.002821657,-0.002973421,0.000698505,-0.001988843,0.006254907,-0.006172859
2016-6-16,0.003196638,0.00519768,-8.72E-05,-0.000519472,0.001557633,0
2016-6-17,-0.00157717,-0.004050071,-0.004286875,0.002767438,-0.014106817,0.01128796
2016-6-20,0.008942295,0.003174257,0.010812842,-0.003720517,0.010989122,0
2016-6-21,-0.002291863,0.002606582,-0.001909897,0.00665248,0.007001195,0.004750603
2016-6-22,-0.001403081,0.000557765,-0.003918054,0.002150502,0.003868477,-0.009182176
2016-6-23,0.009781055,0.006113845,0.01892471,-0.001375747,0.003084043,0.004431574
2016-6-24,-0.03787167,-0.019396394,-0.038748236,0.0135034,-0.00231214,0.007455134
2016-6-27,-0.018551023,-0.002073588,-0.033386108,-0.037273584,-0.026584834,-0.010862293
2016-6-28,0.019731865,0.006208297,0.015338548,-0.019305849,0.010248414,-0.000341355
2016-6-29,0.01600031,0.011560736,0.02248689,0.017806809,0.003913899,-0.022791042
2016-6-30,0.007328773,0.02218447,0.018432947,0.031017576,0.010878118,-0.000698812
2016-7-1,0.010323372,-0.004725502,0.003559445,0.002221902,0.011525291,-0.002800142
2016-7-5,-0.00814763,0.005631766,-0.014842189,-0.007368126,0.012148973,-0.00456702
2016-7-6,0.008527822,0.000905219,0.007234793,0.006223708,0.000754432,0
2016-7-7,0.004300107,-0.001992835,0.002105073,-0.00034376,-0.00302115,0.001759015
2016-7-8,0.017265556,0.009925216,0.023039364,0.015015964,-0.018321123,-0.005639775
2016-7-11,0.005812791,0.000179542,0.011492884,0.003803475,0.012251302,-0.000707214
2016-7-12,0.003938617,-0.005400612,0.013285325,0.007312583,0.019593694,-0.000353794
2016-7-13,-0.0049257,0.00558014,-0.003933578,-0.000251381,0.008915364,0.012658397
2016-7-14,0.004065195,-0.000179528,0.001005848,0.005096744,0.000739372,0.013190056
2016-7-15,-0.004435483,0,0.002760521,-0.001835209,0.000738825,0.011655943
2016-7-18,0.003820723,-0.001077829,0.001669549,0.002418368,0.011747565,0.016562826
2016-7-19,-0.001846989,-0.000719267,-0.005016726,-0.00058316,0.009444313,-0.000335289
2016-7-20,0.004181643,-0.003603517,0.006516821,0.004822058,0.001445087,0.003682013
2016-7-21,-0.002703666,-0.002892128,-0.004758148,-0.003989076,-0.000722282,-0.001002841
2016-7-22,0.004175293,0.004695575,0.007419598,0.004486612,0.005045056,0.008326443
2016-7-25,0.001591961,-0.00108164,-0.001496164,-0.00207468,-0.003601012,-0.003988041
2016-7-26,-0.001224487,-0.007786331,0.00481287,0.000664409,-0.004338402,-0.016451605
2016-7-27,-0.003067147,-0.015018723,0.002810546,-0.001661669,0.005780363,0.010439563
2016-7-28,0.001841459,0.004419169,-0.00256225,0.001661669,0.00431345,-0.000670241
2016-7-29,0.00110324,0.004948206,0.001984294,0.00165898,-0.009369438,0
2016-8-1,0.001591472,0.001096265,0.000825555,-0.001161058,-0.007267474,0.004014726
2016-8-2,-0.01503597,-0.00146191,-0.01404536,-0.006492942,0.0108815,0.005992029
2016-8-3,0.002851996,-0.005501575,0.008085573,0.003584632,0,-0.02113109
2016-8-4,-0.000495436,0.002204305,0.000912918,0.000582354,-0.00796817,-0.004076093
2016-8-5,0.010475301,0.00164989,0.01432951,0.007787335,0.002179441,0.025207182
2016-8-8,-0.003315726,-0.001099624,-0.000490749,-0.000495277,0.010108389,-0.00499086
2016-8-9,-0.002956307,0.003112649,0.001062886,0.000495277,0.006444705,-0.00367586
2016-8-10,0.002095014,0.003649679,-0.007217304,-0.002478706,0.00498399,-0.017562086
2016-8-11,0.009922319,0,0.004762745,0.004704253,0.002836881,0.023570115
2016-8-12,-0.000487705,0.003454816,0.000982565,-0.000658807,-0.009249443,0.009274661
2016-8-15,0.001949293,-0.002544446,0.009853868,0.003290262,0.00356761,0
2016-8-16,-0.005736972,-0.004377258,-0.008136697,-0.005600043,0.002134473,0.015377368
2016-8-17,-0.002328545,0.002737979,-0.002945509,0.001567913,-0.005702082,0.008406128
2016-8-18,-0.000613727,0.003457406,0.007347532,0.002223773,0.001428572,0.008655287
2016-8-19,0.000613727,-0.002364261,0,-0.000987714,-0.002143624,0
2016-8-22,-0.000982015,0.00145547,0.002274967,-0.000411875,-0.010064787,0.006680477
2016-8-23,0.005022905,-0.002001808,0.006955149,0.002468575,-0.007251663,-0.017269377
2016-8-24,-0.004777235,-0.001641072,-0.008173213,-0.005521437,0.010137668,0
2016-8-25,-0.003321028,-0.003839529,0.001948147,-0.000578639,-0.002886005,-0.003231021
2016-8-26,-0.002837482,-0.005142248,-0.002029435,-0.00223501,0.011494379,0.012861914
2016-8-29,0.003453426,0.005874817,0.005187187,0.005289636,0.001427552,0.003508216
2016-8-30,-0.005556056,-0.005874817,0.001857575,-0.001732649,-0.000713521,-0.00734945
2016-8-31,-0.00260329,0.001288053,-0.005664285,-0.002563055,-0.000714031,-0.007403864
2016-9-1,0.001984102,0.000367662,0.000730089,0.000827534,-0.008608375,0.001936734
2016-9-2,0.001980186,0.007691039,0.00960351,0.004786244,-0.005055988,0.012179638
2016-9-6,0.001852921,0.002186482,0.000963189,0.002877237,0.001447178,0.005401125
2016-9-7,0.000493541,-0.008775195,0.006239116,0.00082054,0.016493741,0.006631952
2016-9-8,-0.008671997,-0.005523785,-0.001995426,-0.002628088,0.007793167,0.014995595
2016-9-9,-0.02443455,-0.027517021,-0.031738493,-0.024811786,0.014015646,0.003095978
2016-9-12,0.013927689,0.018614807,0.013841923,0.014063467,-0.003485539,0.002778208
2016-9-13,-0.01431016,-0.012371272,-0.019382958,-0.015497721,-0.016901811,-0.001851281
2016-9-14,0.000127476,-0.003022286,0.000165795,0,-0.014306396,-0.001854715
2016-9-15,0.007243184,0.008101749,0.011869631,0.009829122,-0.007956642,0.002780784
2016-9-16,-0.002163752,-0.003250036,-0.001476044,-0.003601203,0,0.001541545
2016-9-19,-0.000764369,-0.002085865,0.006624991,0.000587132,-0.005826673,-0.013960208
2016-9-20,0.000764369,0.002653933,-0.004248043,-0.00025156,0.036576325,-0.025309798
2016-9-21,0.009633761,0.005475399,0.014386403,0.010927212,-0.001409444,0.024372151
2016-9-22,0.00729033,0.008810635,0.014261897,0.007026891,0.004924386,0.002186476
2016-9-23,-0.002256894,-0.00448947,-0.007105589,-0.005451897,0.00210305,-0.000936476
2016-9-26,-0.011107008,-0.008472196,-0.009979974,-0.008240606,0.006978395,0.010562385
2016-9-27,0.010102249,0.00415103,0.004049213,0.005934757,-0.012596388,-0.00993797
2016-9-28,0.002760424,0.001693139,0.007648679,0.005485427,0.012596388,0.014254967
2016-9-29,-0.005150361,-0.009822471,-0.014705016,-0.009242792,-0.013300861,-0.019888785
2016-9-30,0.008028175,0.010010378,0.010928275,0.007666697,0.007022501,0.007193151
2016-10-3,-0.000624977,-0.006410355,-0.003144742,-0.003409374,0.00418995,0.012387895
2016-10-4,-0.003506495,-0.008547834,-0.004938783,-0.00467566,-0.003490405,0.015575212
2016-10-5,0.004131472,-0.000954216,0.005988086,0.004425682,0.002793298,-0.003034904
2016-10-6,0.000749191,0.001907678,-0.001049303,0.000499825,-0.000697593,-0.010695289
2016-10-7,-0.004504541,-0.002671679,-0.008027612,-0.00342025,-0.00279525,-0.013921339
2016-10-10,0.001629076,0,0.011896684,0.004835033,0.011134423,-0.001870908
2016-10-11,-0.012219131,-0.005172988,-0.018431175,-0.012468337,-0.007641579,0.019778148
2016-10-12,0.00467849,0.005554953,-0.000819747,0.001178226,-0.003492843,-0.00767935
2016-10-13,-0.003664949,0.000191114,-0.008317946,-0.003538645,0,0.011039671
2016-10-14,-0.001140234,0.000190921,-0.004060464,-8.45E-05,0.006973529,-0.000305018
2016-10-17,-0.008273428,-0.004785257,-0.001163189,-0.002789329,0.00554402,-0.002443495
2016-10-18,0.006624188,0.003065261,0.005719795,0.005991784,0.004137937,-0.011688844
2016-10-19,0.00443393,-0.005754965,0.004206617,0.002940544,-0.000688468,0.009239364
2016-10-20,-0.001897884,-0.000577251,-0.002967563,-0.001931294,0.001376463,-0.001841056
2016-10-21,0.007947053,0.005375365,-0.000495528,0.000168016,0.009582551,0.004901971
2016-10-24,0.007136249,0.006488571,0.006339873,0.004276891,-0.005464494,-0.010445563
2016-10-25,-0.011795783,0.00360762,-0.007496776,-0.003604821,-0.005494519,0.005850671
2016-10-26,-0.004301124,-0.001327634,-0.009972608,-0.002691105,0,-0.010804242
2016-10-27,-0.008402272,-0.004565339,-0.011508478,-0.003120626,0,-0.000931532
2016-10-28,-0.002303862,0.004185702,-0.002792021,-0.00287622,0,-0.007796703
2016-10-31,0.000768578,0.002465262,0.003974166,0.000254101,-0.011777067,0.00810731
