Date,SPY,EWU,EWA,EWH,50,52
2016-5-5,-0.000194957,-0.000633019,-0.000512518,0.008268798,-0.010757241,0.000980873
2016-5-6,0.003652243,0.002529973,-0.00205243,-0.007750099,0.001662511,0.008298803
2016-5-9,0.000826019,-0.006973061,-0.005149168,-0.005200122,-0.008340332,-0.00609535
2016-5-10,0.012357188,0.008866391,0.021956317,0.01603337,0,-0.025763129
2016-5-11,-0.009398855,-0.002525281,-0.00354166,-0.016554829,0.005012542,-0.005031457
2016-5-12,0.000290596,-0.001898022,-0.002537289,-0.007329946,-0.00250313,0.009288381
2016-5-13,-0.008752384,-0.009545128,-0.014329941,-0.012159894,-0.000835771,0.007468295
2016-5-16,0.009816944,0.013337807,0.015853119,0.012159894,-0.010929071,0.012324534
2016-5-17,-0.009377534,-0.001262706,-0.001523178,-0.005268783,0.007578984,0.004399909
2016-5-18,0.000292936,0.010681896,-0.012784686,-0.004235061,0.007521974,0
2016-5-19,-0.003470901,-0.007528281,-0.003092682,-0.005852594,-0.001666667,-0.004644917
2016-5-20,0.006297339,0.004398354,0.004121508,0.013778677,-0.005016733,-0.016304709
2016-5-23,-0.001363438,-0.003139688,-0.006706345,-0.004748052,0.005850414,0
2016-5-24,0.012878971,0.026072128,0.002584836,0.012611915,0.032789823,-0.008755528
2016-5-25,0.006760217,0.012180485,0.006175937,0.012970269,-0.010539214,-0.000502639
2016-5-26,0.000286658,-0.003031129,0.003585139,0.000515278,0.010539214,0
2016-5-27,0.004290054,-0.003649646,0.001021992,0.002058731,0.002416433,0.003262646
2016-5-31,-0.001904469,-0.017830196,-0.00666156,0.015306454,0.00721446,0.003751411
2016-6-1,0.002047046,-0.005598765,-0.001543555,-0.003042605,0.008747571,0.001995013
2016-6-2,0.00303909,0.004357286,-0.007753993,0.007589225,0,-0.01911527
2016-6-3,-0.002991523,0.010503631,0.01901878,0.005529106,0.008671714,-0.017676904
2016-6-6,0.005075667,-0.000614856,0.01113941,0.010471217,0,-0.023007551
2016-6-7,0.001560002,0.005519884,0.010019999,0.004454256,0.00235202,-0.077225556
2016-6-8,0.003254408,0.002443457,0.006459802,-0.002472039,0.001564946,0.000571265
2016-6-9,-0.00136655,-0.010426391,-0.012961337,-0.004962852,0.0015625,-0.00831546
2016-6-10,-0.009522592,-0.037052837,-0.025407932,-0.004987552,0.013183595,-0.00086418
2016-6-13,-0.007741682,-0.01287848,-0.009307219,-0.019182808,0.005378422,0.002590302
2016-6-14,-0.001968846,-0.023607733,-0.008870429,-0.006648009,-0.023256862,0.001723148
2016-6-15,-0.001394859,0.005954396,0.000524066,-0.001026643,0.006254907,-0.012705917
2016-6-16,0.002979889,0.007229781,-0.007360681,-0.00669929,0.001557633,0.005506462
2016-6-17,-0.003731161,0.021380818,0.008407766,-0.002070561,-0.014106817,-0.002604545
2016-6-20,0.006419429,0.039590297,0.024807516,0.015424719,0.010989122,-0.00174014
2016-6-21,0.002834497,0.009810148,0.007120956,0.001019783,0.007001195,0.010970087
2016-6-22,-0.001632454,-0.005015359,0.000308361,0.001506863,0.003868477,0.043814927
