Date,SPY,EWM,EWO,EWN,50,55
2016-6-24,-0.036569564,-0.050659453,-0.109323751,-0.100232926,-0.00231214,-0.00390473
2016-6-27,-0.018072219,-0.008911534,-0.031539056,-0.025904703,-0.026584834,-0.022953125
2016-6-28,0.017875275,0.025253879,0.021379288,0.021858814,0.010248414,0.004792341
2016-6-29,0.016884209,0.02219571,0.017354074,0.019184114,0.003913899,0.001592357
2016-6-30,0.013553369,0.010915804,0.015647568,0.022718295,0.010878118,0.004761914
2016-7-1,0.00209817,-0.001206985,0,-0.001729354,0.011525291,0.000791452
2016-7-5,-0.007219201,-0.019512824,-0.044740504,-0.028084261,0.012148973,0.005522696
2016-7-6,0.005980054,0,0.008085281,-0.006697998,0.000754432,0.000786473
2016-7-7,-0.000620492,-0.001232303,-0.000732351,-0.001344908,-0.00302115,0.00313972
2016-7-8,0.014780731,0.0159025,0.014545699,0.021744728,-0.018321123,-0.015002255
2016-7-11,0.003520862,0.001212841,0.015759662,0.012650089,0.012251302,-0.000795862
2016-7-12,0.007237056,0.013245249,0.025957188,0.01077831,0.019593694,0.007140054
2016-7-13,-0.000139619,0.002389426,-0.007646868,0.003424613,0.008915364,0.009441455
2016-7-14,0.005568015,0.011862604,0.031596044,0.008086917,0.000739372,0.013997118
2016-7-15,-0.001342831,-0.008288995,0.001351385,-0.00552612,0.000738825,0.002313923
2016-7-18,0.00268379,-0.002380955,-0.002704529,0.004253576,0.011747565,0.015290818
2016-7-19,-0.001017112,-0.010784963,-0.006793533,-0.003401404,0.009444313,0.011316605
2016-7-20,0.004154292,0,0.004760273,0.008481806,0.001445087,0.014152936
2016-7-21,-0.003784393,-0.017011386,-0.004078826,-0.002960336,-0.000722282,-0.008915364
2016-7-22,0.004475183,0.002447983,0.006788921,0.002960336,0.005045056,-0.021879409
2016-7-25,-0.002719667,-0.004901941,-0.002031883,0.002530641,-0.003601012,0.017391743
2016-7-26,0.000461515,0.002453958,0.006756811,0.005041979,-0.004338402,0
2016-7-27,-0.001061617,0.002447983,0.008716055,0,0.005780363,0.004487666
2016-7-28,0.001153938,0,0.002666734,0,0.00431345,0.001491425
2016-7-29,0.001613194,0.003660759,0.009277692,0.0091783,-0.009369438,0.005202539
2016-8-1,-0.000829278,-0.001218754,-0.015957704,-0.008759202,-0.007267474,-0.005202539
