Date,SPY,EWP,EWL,EWW,50,53
2016-7-5,-0.007219201,-0.031297047,-0.025481248,-0.034440965,0.012148973,0.012524766
2016-7-6,0.005980054,-0.000825997,0.002749167,-0.006166534,0.000754432,0.011315538
2016-7-7,-0.000620492,-0.006633511,-0.002749167,-0.001857402,-0.00302115,0.002808991
2016-7-8,0.014780731,0.026274083,0.008224827,0.026097277,-0.018321123,0
2016-7-11,0.003520862,0.009276103,0.010186893,0.007418637,0.012251302,-0.021620548
2016-7-12,0.007237056,0.027323064,-0.000675884,0.01605102,0.019593694,0.01246233
2016-7-13,-0.000139619,0.000390518,0.003711809,-0.006904026,0.008915364,0.02308602
2016-7-14,0.005568015,0.008553631,0.008719054,0.006117418,0.000739372,0.00345185
2016-7-15,-0.001342831,-0.005045536,-0.005020972,-0.003547476,0.000738825,-0.00345185
2016-7-18,0.00268379,-0.001557711,0.00234629,0.013141303,0.011747565,0.005861075
2016-7-19,-0.001017112,-0.006254815,-0.007729828,-0.008021208,0.009444313,0.008898074
2016-7-20,0.004154292,0.007812525,0.00571906,0.005094072,0.001445087,0.00712955
2016-7-21,-0.003784393,0.001555167,-0.003360223,-0.002151949,-0.000722282,0.00101437
2016-7-22,0.004475183,0.001164931,0.002689101,0.005858186,0.005045056,0.000337895
2016-7-25,-0.002719667,-0.004667565,0.000671121,-0.023043894,-0.003601012,0.012756131
2016-7-26,0.000461515,0.000389757,0,-0.003193023,-0.004338402,-0.010057074
2016-7-27,-0.001061617,0.01661878,0.002680127,-0.00541136,0.005780363,-0.008798703
2016-7-28,0.001153938,-0.010790106,-0.005031076,-0.004834786,0.00431345,0.009472331
2016-7-29,0.001613194,0.017284913,0.015679986,0.003225855,-0.009369438,0.010383614
2016-8-1,-0.000829278,-0.016510341,-0.00464493,-0.002822048,-0.007267474,-0.000333278
2016-8-2,-0.00642788,-0.01718114,-0.002330598,-0.00770014,0.0108815,-0.003338901
2016-8-3,0.002918392,-0.005529291,-0.007024631,0.009716649,0,0.008326443
2016-8-4,0.001063433,0.007496641,0.005690345,-0.000604407,-0.00796817,0.001657001
2016-8-5,0.008145537,0.011723422,0.002999499,0.015004758,0.002179441,-0.009314771
2016-8-8,-0.000595888,0.003490369,-0.002665735,0.013020452,0.010108389,-0.00033428
2016-8-9,0.000595888,0.009632202,0.007313885,0.014013543,0.006444705,0.012624752
2016-8-10,-0.002478001,0.010678992,0.005615229,0.004820207,0.00498399,-0.000660502
2016-8-11,0.004629921,0.003408452,0.012113352,0.018863035,0.002836881,0.007569561
2016-8-12,-0.000869306,0.001888542,0,-0.000377659,-0.009249443,-0.002626397
2016-8-15,0.002879714,0.002638012,0.001300841,0.015736636,0.00356761,-0.006265478
2016-8-16,-0.005171109,-0.004148584,0.000324979,-0.003351386,0.002134473,-0.004641918
2016-8-17,0.001879277,-0.005305102,-0.001625821,-0.010687193,-0.005702082,0.006954822
2016-8-18,0.002241489,0.001898018,0.008425213,0.005638978,0.001428572,-0.002974717
2016-8-19,-0.001463315,-0.01144181,-0.011031884,-0.008281538,-0.002143624,0.002314433
2016-8-22,-4.58E-05,0.003828462,0.001629994,-0.005496055,-0.010064787,-0.006959432
2016-8-23,0.002011586,0.00571533,0.002927371,-0.024236621,-0.007251663,0.003651456
2016-8-24,-0.005128062,0.002277056,-0.007498127,0.006598141,0.010137668,-0.013342426
2016-8-25,-0.000688855,-0.002277056,-0.005578311,0.004823928,-0.002886005,0.005024295
2016-8-26,-0.001885137,-0.004188111,-0.006271616,-0.017084461,0.011494379,0.002002671
2016-8-29,0.004912333,0.002286681,0.003305725,0.003713401,0.001427552,0.01028372
2016-8-30,-0.001650102,0.002281346,-0.000660197,-0.010196062,-0.000713521,0.008216973
2016-8-31,-0.002847995,0.006435758,-0.003308081,-0.005335516,-0.000714031,-0.01119169
2016-9-1,4.58E-05,0.012375957,0.002647312,0.004941202,-0.008608375,0.001323189
2016-9-2,0.004497962,0.011487998,0.011826703,0.014872995,-0.005055988,0.001651528
2016-9-6,0.003017922,0.005511699,0.011365519,0.010242645,0.001447178,-0.009950331
2016-9-7,-9.14E-05,0.006938073,0.000968232,-0.00927184,0.016493741,0.006313362
2016-9-8,-0.002285494,0.014809717,-0.001937335,-0.015646714,0.007793167,0.00857525
2016-9-9,-0.024225946,-0.01736026,-0.016620909,-0.030827034,0.014015646,0.00817666
2016-9-12,0.014245258,0.002550543,0.010135794,0.005473914,-0.003485539,0.013588045
2016-9-13,-0.014479815,-0.026923993,-0.013427407,-0.02352567,-0.016901811,-0.001929882
2016-9-14,-0.000375174,-0.003745297,-0.000329802,-0.013126548,-0.014306396,-0.011658163
2016-9-15,0.009943262,0.005612678,0.007229862,-0.005257074,-0.007956642,-0.020069764
2016-9-16,-0.003873032,-0.019593659,-0.015842023,-0.014012999,0,-0.004997512
2016-9-19,0.000187418,0.004176979,0.003652714,-0.001069662,-0.005826673,-0.001336899
2016-9-20,4.68E-05,-0.001137429,0.007594551,-0.001499343,0.036576325,0.003338901
2016-9-21,0.011182828,0.021021795,0.01047126,0.020369945,-0.001409444,0.035367144
2016-9-22,0.00628169,0.010347488,0.01132883,0.022636096,0.004924386,-0.000321802
2016-9-23,-0.005494388,-0.012206576,-0.008078937,-0.016563529,0.00210305,0.000965096
2016-9-26,-0.008135209,-0.010475237,-0.008144671,-0.015569441,0.006978395,-0.003543247
2016-9-27,0.006188866,-0.000752464,0.003265913,0.037253383,-0.012596388,0.006112292
2016-9-28,0.004951326,0.009737945,0.007471135,0.01056703,0.012596388,-0.005789659
2016-9-29,-0.009088518,-0.017293612,-0.014341848,-0.016714609,-0.013300861,0.003220615
2016-9-30,0.007517812,0.016920855,0.002950335,-0.003500561,0.007022501,0.000321492
2016-10-3,-0.002407046,-0.004484343,-0.002293938,0.013928984,0.00418995,-0.000643087
2016-10-4,-0.005110766,-0.004128382,-0.00197042,0.004870167,-0.003490405,0.006731873
2016-10-5,0.004415547,0.010847223,0.004918822,0.0106716,0.002793298,-0.000639182
2016-10-6,0.000695219,-0.005221838,-0.007881784,-0.007841627,-0.000697593,0.00095862
2016-10-7,-0.003435332,-0.013554478,-0.005620799,-0.007090058,-0.00279525,-0.000319438
2016-10-10,0.005194925,0.001136567,0.000662891,0.034565437,0.011134423,0
2016-10-11,-0.012710054,-0.007983232,-0.009320971,-0.005711461,-0.007641579,0.00159617
2016-10-12,0.001311182,-0.000763629,-0.004021403,-0.002967147,-0.003492843,-0.004796172
2016-10-13,-0.003280965,-0.00574606,-0.005049672,-0.006957491,0,-0.0051414
2016-10-14,0.000516278,0.00574606,0.003032855,-0.002996786,0.006973529,-0.007762005
2016-10-17,-0.003478134,0.001907921,-0.006752194,0.004591266,0.00554402,0.009693129
2016-10-18,0.006242822,0.014759061,0.007761128,0.026144018,0.004137937,0.005771096
2016-10-19,0.002663573,0.006739043,0.002350091,0.015784807,-0.000688468,0.00255428
2016-10-20,-0.00186843,0.009285111,-0.004705822,-0.011525405,0.001376463,0.007307419
2016-10-21,0.000467325,0.000369665,-0.003036949,0.003664146,0.009582551,0
2016-10-24,0.004243867,0.012121348,-0.007462675,0.003458915,-0.005464494,0.012895288
2016-10-25,-0.003356316,-0.00696095,-0.00786201,-0.005192801,-0.005494519,-0.012895288
2016-10-26,-0.002009729,-0.000735658,-0.003781999,-0.015154819,0,-0.006669868
2016-10-27,-0.002670383,0.007331474,0.002064669,-0.000979362,0,-0.000637552
2016-10-28,-0.002959779,0.00218896,-0.000687738,-0.007671883,0,0
2016-10-31,4.71E-05,0.000364374,-0.002066091,0.003744954,-0.011777067,-0.00447428
2016-11-1,-0.007271753,-0.005479484,0.003097573,-0.028738798,-0.007695036,-0.00449439
2016-11-2,-0.006036861,-0.011420245,-0.006204841,-0.015096094,-0.002812941,-0.016218325
2016-11-3,-0.004587624,0.000370486,-0.00728792,0.004102451,0.013986242,0.002286462
2016-11-4,-0.00110222,-0.011547987,-0.002790329,0.010183454,0.004849334,0.006504088
2016-11-7,0.021817294,0.014506487,0.016626681,0.04999561,-0.033020211,0.003236249
2016-11-8,0.004493775,0.00221326,0.00137308,0.01738842,0.028170877,-0.027847827
2016-11-9,0.010546283,-0.01260684,0.011257155,-0.089097338,-0.027456846,0.016474837
2016-11-10,0.002492393,-0.01617477,-0.00373823,-0.088499647,0.000713521,-0.024480217
2016-11-11,-0.002307582,-0.019916522,-0.006490273,-0.019648786,-0.002857145,-0.006046374
2016-11-14,0.000785191,-0.013632074,-0.009987999,0.017837212,0.001429593,-0.004051322
2016-11-15,0.007772467,0.009756167,0.004145103,0.013954792,0.002853069,0.009427679
2016-11-16,-0.001880101,-0.014473189,-0.007959963,-0.004031309,0.002844952,0.000670017
2016-11-17,0.005127548,0.004324738,0.00519846,-0.00788573,0.001419447,0.000669568
2016-11-18,-0.002240073,-0.016614297,-0.010424013,-0.028448734,0.013385195,-0.001674762
2016-11-21,0.007523139,0.006361839,-0.002448035,0.014784235,0.004886572,0.023522701
2016-11-22,0.001951339,0.004745,-0.010559774,-0.002755342,-0.005586607,-0.02721708
2016-11-23,0.00054378,-0.011106839,-0.007458726,0.004130125,-0.000700525,-0.005736476
2016-11-25,0.003708587,0.004378098,0.015915548,0.009344933,0.005590511,-0.007813867
2016-11-28,-0.004705845,-0.00917618,-0.009164693,-0.00181651,-0.0013947,0.001022669
2016-11-29,0.001948352,0.00917618,0.006353703,0.001135564,0.000697593,0.00814392
2016-11-30,-0.002402109,-0.000397188,-0.00246611,0.001587977,0.004175371,-0.003046203
