Date,XLI,XLE,XLF,XLK,50,57
2016-12-15,0.001110077,0.002226573,0.008485578,0.00448517,-0.009635312,-0.006329877
2016-12-16,-0.00201134,0.006188249,-0.008652591,-0.007259033,-0.006243517,0.00328716
2016-12-19,0.005577242,-0.00458514,0.000428021,0.007177273,-0.001392758,-0.006349228
2016-12-20,0.005704248,-0.002234631,0.012332684,0.003671266,-0.000697107,-0.005677801
2016-12-21,-0.003799214,0.001577895,-0.002539113,-0.002037878,-0.012631747,-0.004517901
2016-12-22,-0.001905034,0.004064837,-0.002545663,-0.002042184,-0.003537322,-0.012952928
2016-12-23,0.000952946,-0.000916388,0.001697785,0.001021685,0.003537322,-0.00072455
2016-12-27,0.002061634,0.002224012,0.001271546,0.004075759,-0.000706464,-0.001450677
2016-12-28,-0.010511241,-0.010905925,-0.01021724,-0.008988808,0.011942537,0.002416628
2016-12-29,-0.000320329,-0.001983865,-0.007300912,0.000205226,-0.004900255,0.00865182
2016-12-30,-0.003529533,-0.002916628,0.002152832,-0.007826985,0.007689657,-0.002395785
