Date,SPY,EWK,XLF,DIA,50,56
2016-6-14,-0.001968846,-0.019231422,-0.014892921,-0.003105855,-0.023256862,-0.013507634
2016-6-15,-0.001394859,0.003420673,0.001323025,-0.001358315,0.006254907,0.009923401
2016-6-16,0.002979889,0.002841591,0.00264081,0.005028111,0.001557633,-0.000448934
2016-6-17,-0.003731161,0.009602059,0.000395955,-0.003308772,-0.014106817,-0.00856826
2016-6-20,0.006419429,0.018931469,0.005733235,0.007225032,0.010989122,0.004518761
2016-6-21,0.002834497,0.006048928,0.005700553,0.001461277,0.007001195,0.011654099
2016-6-22,-0.001632454,-0.005153267,-0.000874929,-0.002755793,0.003868477,0.006219478
2016-6-23,0.012938436,0.024692554,0.020789023,0.012535811,0.003084043,0
2016-6-24,-0.036569564,-0.083028213,-0.055067955,-0.035031453,-0.00231214,-0.00354925
2016-6-27,-0.018072219,-0.023236092,-0.028947483,-0.014036767,-0.026584834,-0.022927505
2016-6-28,0.017875275,0.023236092,0.025317854,0.015187926,0.010248414,0.006798123
2016-6-29,0.016884209,0.018670335,0.022472657,0.016093477,0.003913899,0.00675222
2016-6-30,0.013553369,0.023422824,0.015873464,0.013272027,0.010878118,0.009377162
2016-7-1,0.00209817,0.001692633,-0.005263184,0.001730391,0.011525291,0.004434597
2016-7-5,-0.007219201,-0.028589678,-0.01506446,-0.006153603,0.012148973,0.00881063
2016-7-6,0.005980054,-0.00465119,0.002674961,0.004311402,0.000754432,0.008298803
2016-7-7,-0.000620492,-0.006430901,0.001334729,-0.001062159,-0.00302115,-0.002177227
2016-7-8,0.014780731,0.015134136,0.018939158,0.013941308,-0.018321123,-0.012280856
2016-7-11,0.003520862,0.006908577,0.005655839,0.004512754,0.012251302,0.008787403
2016-7-12,0.007237056,0.010274074,0.012503049,0.006949255,0.019593694,0.0242017
2016-7-13,-0.000139619,0.003401348,0,0.001144372,0.008915364,0.000426894
2016-7-14,0.005568015,0.00056573,0.009381651,0.007380046,0.000739372,0.015248072
2016-7-15,-0.001342831,-0.005103475,-0.00169924,0.000297565,0.000738825,0.000420256
2016-7-18,0.00268379,0.003405093,0.003395528,0.001081149,0.011747565,0.005865119
2016-7-19,-0.001017112,-0.003973717,0.000423727,0.001835442,0.009444313,0.00790518
2016-7-20,0.004154292,0.002272679,0.001692768,0.001939481,0.001445087,0.002896754
2016-7-21,-0.003784393,-0.01084173,-0.005087064,-0.004315354,-0.000722282,-0.006217637
2016-7-22,0.004475183,0.006291137,0.006354815,0.002861119,0.005045056,0.008693907
2016-7-25,-0.002719667,0.003982936,-0.002113811,-0.003780599,-0.003601012,-0.000824742
2016-7-26,0.000461515,0.002268695,0.000846061,-0.00113673,-0.004338402,-0.002891966
2016-7-27,-0.001061617,-0.003405093,-0.000422872,-0.000108512,0.005780363,0.00082713
2016-7-28,0.001153938,0.015232947,0.002112779,-0.001084079,0.00431345,0.005770832
2016-7-29,0.001613194,0.016657892,-0.001689908,-0.001357009,-0.009369438,0.003692312
2016-8-1,-0.000829278,-0.016098064,-0.002540193,-0.001412895,-0.007267474,-0.002049601
2016-8-2,-0.00642788,-0.006737782,-0.008514404,-0.004906729,0.0108815,0.007358987
2016-8-3,0.002918392,-0.004517247,0.010208537,0.002129131,0,0.00244101
2016-8-4,0.001063433,0.003953634,-0.002542346,0.000490697,-0.00796817,-0.004887993
2016-8-5,0.008145537,0.005060432,0.018912165,0.009818155,0.002179441,-0.000816994
2016-8-8,-0.000595888,0,0.001248234,0.000107864,0.010108389,0.004485227
2016-8-9,0.000595888,0.005592907,0.000831155,0.000377885,0.006444705,0.003654826
2016-8-10,-0.002478001,0.002784767,-0.007924898,-0.001241862,0.00498399,0.000405268
2016-8-11,0.004629921,0.00775633,0.002091499,0.006354145,0.002836881,-0.000405268
2016-8-12,-0.000869306,0.007148708,-0.002929476,-0.002149368,-0.009249443,-0.007731473
2016-8-15,0.002879714,0.006009315,0.006683485,0.00332951,0.00356761,0.003262646
2016-8-16,-0.005171109,-0.002727051,-0.00250122,-0.004082853,0.002134473,0.001220753
2016-8-17,0.001879277,0,0.003333482,0.001828646,-0.005702082,0.002031282
2016-8-18,0.002241489,0.006532494,-0.000832261,0.001288743,0.001428572,-0.002438035
2016-8-19,-0.001463315,-0.003260857,-0.000416493,-0.001962262,-0.002143624,0.005679528
