Date,SPY,EWJ,EWC,EWG,50,51
2016-6-6,0.005075667,0.010178367,0.013481621,0.001530203,0,0.000411269
2016-6-7,0.001560002,0.006728368,0.010188166,0.011780452,0.00235202,-0.004946424
2016-6-8,0.003254408,0.005850272,0.000779469,0.000755297,0.001564946,0.00658981
2016-6-9,-0.00136655,-0.011735251,-0.007429256,-0.018286195,0.0015625,-0.001232286
2016-6-10,-0.009522592,-0.017865238,-0.01702,-0.033623193,0.013183595,0.004920059
2016-6-13,-0.007741682,-0.018190153,-0.006005901,-0.016032417,0.005378422,0.004081638
2016-6-14,-0.001968846,-0.004380166,-0.012934705,-0.011786307,-0.023256862,-0.015186009
2016-6-15,-0.001394859,0.009611299,-0.003260051,0.003265311,0.006254907,0.008647367
2016-6-16,0.002979889,-0.004357352,-0.004909943,0.006093778,0.001557633,0.001638673
2016-6-17,-0.003731161,-0.001748235,0.008169994,0.009673684,-0.014106817,-0.009872561
2016-6-20,0.006419429,0.022492192,0.01373756,0.023782326,0.010989122,0.00165221
2016-6-21,0.002834497,0.006820319,0.000802252,0.00819192,0.007001195,0.004529553
2016-6-22,-0.001632454,-0.015182373,-0.003806197,0.00369436,0.003868477,0.007775771
2016-6-23,0.012938436,0.022223096,0.016096943,0.031996543,0.003084043,0.00447428
2016-6-24,-0.036569564,-0.042302397,-0.037003549,-0.103058986,-0.00231214,0
2016-6-27,-0.018072219,-0.005305055,-0.02177636,-0.024565006,-0.026584834,-0.028402815
2016-6-28,0.017875275,0.014958495,0.015126246,0.020298759,0.010248414,0.010797447
2016-6-29,0.016884209,0.013015429,0.016132822,0.013588281,0.003913899,0.006587097
2016-6-30,0.013553369,-0.008658118,0.005728304,0.014238064,0.010878118,0.010612344
2016-7-1,0.00209817,-0.001740727,0.012971331,0.002906501,0.011525291,0.001622718
2016-7-5,-0.007219201,0,-0.010119459,-0.031588327,0.012148973,0.006867327
2016-7-6,0.005980054,0,0.006083947,-0.002999743,0.000754432,0.005219847
2016-7-7,-0.000620492,0.000870742,-0.00975222,-0.007323,-0.00302115,0
2016-7-8,0.014780731,0.006938534,0.006106237,0.022232745,-0.018321123,-0.018185993
2016-7-11,0.003520862,0.023912365,0.00081135,0.015939956,0.012251302,0.004882028
2016-7-12,0.007237056,0.005889665,0.016489426,0.015689813,0.019593694,0.016901811
2016-7-13,-0.000139619,-0.001679234,0.003186028,0.001637342,0.008915364,0.003187254
2016-7-14,0.005568015,0.001679234,0.010284941,0.015422404,0.000739372,0.011862535
2016-7-15,-0.001342831,-0.003361228,-0.005129208,-0.004035586,0.000738825,0.005097051
2016-7-18,0.00268379,0.002522017,0.003947806,0.000404309,0.011747565,0.01050389
2016-7-19,-0.001017112,-0.006739723,-0.007117424,-0.011382272,0.009444313,0.001933115
2016-7-20,0.004154292,0.008417548,0,0.012594218,0.001445087,0.007311943
2016-7-21,-0.003784393,-0.007572557,-0.002383804,0.000807067,-0.000722282,-0.003456888
2016-7-22,0.004475183,0.001687672,-0.001194016,-0.000403411,0.005045056,0.008429169
2016-7-25,-0.002719667,-0.003378347,-0.012825757,0.004429167,-0.003601012,0.001143947
2016-7-26,0.000461515,0.000845684,0.006834076,0.007205722,-0.004338402,-0.006883392
2016-7-27,-0.001061617,0.001689269,-0.000400635,0.009132485,0.005780363,0.005357839
2016-7-28,0.001153938,0,0.001201587,0.004731942,0.00431345,0.003429228
2016-7-29,0.001613194,0.017566299,0.010354654,0.009007306,-0.009369438,0.004175371
2016-8-1,-0.000829278,0.003311291,-0.012358156,-0.003906241,-0.007267474,-0.007222993
2016-8-2,-0.00642788,-0.012474296,-0.001204162,-0.009437805,0.0108815,0.007222993
2016-8-3,0.002918392,-0.005033506,0.008000071,-0.000790398,0,0.001514005
2016-8-4,0.001063433,0.014196512,0.001194491,0.000395197,-0.00796817,-0.005309076
2016-8-5,0.008145537,0.003311291,-0.000796169,0.008266172,0.002179441,-0.000760746
2016-8-8,-0.000595888,0.004123638,0.008723269,0.005083114,0.010108389,0.017352378
2016-8-9,0.000595888,0.009012851,0.005904417,0.024273997,0.006444705,0
2016-8-10,-0.002478001,0.003257195,0.001960377,0.004178514,0.00498399,-0.003746726
2016-8-11,0.004629921,0.007290468,0.011295179,0.00567004,0.002836881,-0.000751033
2016-8-12,-0.000869306,-0.004854401,-0.003491757,-0.001131462,-0.009249443,-0.00451808
2016-8-15,0.002879714,0.005661134,0.005039727,0.004893681,0.00356761,0.006769488
2016-8-16,-0.005171109,-0.008910474,0.001159367,0.001125942,0.002134473,-0.008280062
2016-8-17,0.001879277,0.008103741,-0.001159367,-0.004511278,-0.005702082,0.004524895
2016-8-18,0.002241489,-0.004854401,0.006936441,0.007507517,0.001428572,-0.015545337
2016-8-19,-0.001463315,-0.002436066,-0.006549822,-0.006754216,-0.002143624,0.013662452
2016-8-22,-4.58E-05,0.005674985,-0.00309714,-0.00490661,-0.010064787,-0.004912158
2016-8-23,0.002011586,0.000808098,0.00579933,0.005283028,-0.007251663,-0.003795071
2016-8-24,-0.005128062,-0.000808098,-0.008128535,-0.003393071,0.010137668,-0.000760746
2016-8-25,-0.000688855,-0.004862269,-0.001555797,-0.005680777,-0.002886005,-0.00038059
2016-8-26,-0.001885137,-0.007337938,-0.003509498,-0.006859713,0.011494379,0.006072125
2016-8-29,0.004912333,0.003268027,0.001951197,0.004578405,0.001427552,0.004530019
2016-8-30,-0.001650102,0,-0.004689325,0.002281308,-0.000713521,-0.001130582
2016-8-31,-0.002847995,0.001629882,-0.008654715,-0.004567948,-0.000714031,-0.000754432
2016-9-1,4.58E-05,0.007302298,0.007086721,0.003427887,-0.008608375,0
2016-9-2,0.004497962,0.007249279,0.014411143,0.009084189,-0.005055988,-0.000755002
2016-9-6,0.003017922,0.005602296,0.01191632,0.005635953,0.001447178,-0.005680758
