Date,SPY,EWI,EWS,EWD,50,54
2016-5-16,0.000826019,-0.01243289,-0.007714593,0.005841046,-0.008340332,-0.000981836
2016-5-17,0.012357188,0.014078982,0.001934336,0.00716838,0,-0.003937013
2016-5-18,-0.009398855,-0.010748419,-0.00484262,-0.007853854,0.005012542,-0.001480385
2016-5-19,0.000290596,-0.00083158,-0.000971344,-0.009645305,-0.00250313,-0.008430499
2016-5-20,-0.008752384,-0.013400589,-0.006825958,-0.011138335,-0.000835771,-0.012528352
2016-5-23,0.009816944,0.010067164,0.007797303,0.018381031,-0.010929071,-0.014732296
2016-5-24,-0.009377534,-0.019385302,0.003875869,-0.009321662,0.007578984,-0.022775312
2016-5-25,0.000292936,0.002549962,-0.006792737,-0.002778744,0.007521974,-0.003146306
2016-5-26,-0.003470901,-0.001699237,-0.01175341,-0.008032171,-0.001666667,-0.007380107
2016-5-27,0.006297339,0.00677978,0.010779227,0.014619125,-0.005016733,-0.001588563
2016-5-30,-0.001363438,-0.005080543,0,-0.004502172,0.005850414,0.005285425
2016-5-31,0.012878971,0.025148033,0.002919707,0.017547327,0.032789823,-0.003696862
2016-6-1,0.006760217,0.017234765,0.006779579,0.008152147,-0.010539214,-0.00796817
2016-6-2,0.000286658,0.001626018,0.002891667,0.007750778,0.010539214,-0.009646377
2016-6-3,0.004290054,-0.004886049,0.00384246,-0.002689149,0.002416433,0.006441246
2016-6-4,-0.001904469,-0.008196773,-0.000959232,-0.005399945,0.00721446,0.01064406
2016-6-6,0.002047046,-0.00577796,-0.001921228,-0.002032521,0.008747571,-0.002650412
2016-6-7,0.00303909,-0.002486513,0.003838773,0.002370837,0,-0.001593626
2016-6-8,-0.002991523,0,0.017094417,0.008757249,0.008671714,0.034486176
2016-6-13,0.005075667,0.006617068,0.01402556,0.005684683,0,0.005633818
2016-6-14,0.001560002,0.013917528,0.006478402,0.006646751,0.00235202,0.007124712
2016-6-15,0.003254408,0.006482967,0.008268394,0.003637039,0.001564946,-0.004574341
2016-6-16,-0.00136655,-0.016286846,-0.008268394,-0.021348374,0.0015625,0.009632521
2016-6-17,-0.009522592,-0.044489221,-0.026169693,-0.040246258,0.013183595,0.014525675
2016-6-20,-0.007741682,-0.026969833,-0.011428685,-0.012005756,0.005378422,0.003474811
2016-6-21,-0.001968846,-0.017794076,-0.001917544,-0.011792167,-0.023256862,0.006421361
2016-6-22,-0.001394859,0.008936477,0.00669528,0.010014389,0.006254907,0
2016-6-23,0.002979889,0.003552451,-0.000953643,-0.005710184,0.001557633,0
2016-6-24,-0.003731161,0.033133005,0,0.012095448,-0.014106817,-0.004441162
2016-6-27,0.006419429,0.023729857,0.020774994,0.028583331,0.010989122,-0.003467925
2016-6-28,0.002834497,0.005012589,-0.002807625,0.009575996,0.007001195,0.015267472
2016-6-29,-0.001632454,-0.020918516,0.003940375,0.000318424,0.003868477,0.002440812
2016-6-30,0.012938436,0.048831228,0.012098832,0.028936969,0.003084043,-0.018204685
2016-7-1,-0.036569564,-0.161987406,-0.051244596,-0.116109175,-0.00231214,-0.001988072
2016-7-4,-0.018072219,-0.028419343,-0.015702054,-0.015558409,-0.026584834,0.011377813
2016-7-5,0.017875275,0.033238594,0.033076872,0.030878497,0.010248414,-0.017365854
2016-7-6,0.016884209,0.01621402,0.022706815,0.017332842,0.003913899,0.012434878
2016-7-7,0.013553369,0.026145276,0.016698037,0.021434628,0.010878118,0
2016-7-11,0.00209817,-0.002768881,0.004589201,0.004377927,0.011525291,0.006405541
2016-7-12,-0.007219201,-0.04055231,-0.008275988,-0.038216463,0.012148973,0.006852694
2016-7-13,0.005980054,-0.008699944,-0.003700237,-0.00454894,0.000754432,-0.003420477
2016-7-14,-0.000620492,-0.018619026,0.00092638,-0.000760173,-0.00302115,-0.023775265
2016-7-15,0.014780731,0.042601007,0.013793405,0.01771302,-0.018321123,0.00150263
2016-7-18,0.003520862,0.008494657,-0.000913731,0.015199522,0.012251302,0.002499376
2016-7-19,0.007237056,0.034183352,0.011812936,0.009155902,0.019593694,0.016341042
2016-7-20,-0.000139619,-0.005464454,0,0.006540654,0.008915364,0.007827829
2016-7-21,0.005568015,0.011802183,0.010781738,0.006858023,0.000739372,0.007767029
2016-7-22,-0.001342831,-0.001806625,-0.005376268,-0.000719651,0.000738825,0.003861009
2016-7-25,0.00268379,-0.002716189,0.002691724,-0.005052336,0.011747565,-0.003377567
2016-7-26,-0.001017112,-0.008193068,-0.013531994,-0.001810642,0.009444313,-0.00971353
2016-7-27,0.004154292,0.003649705,0.004531073,0.01045614,0.001445087,0.015016024
2016-7-28,-0.003784393,-0.001823188,-0.004531073,-0.005394671,-0.000722282,0.005752652
2016-7-29,0.004475183,-0.000912818,0.001814884,-0.003612708,0.005045056,0.009988192
2016-8-1,-0.002719667,-0.007332889,-0.011856078,0.002891166,-0.003601012,0.001891254
2016-8-2,0.000461515,0.004589424,0.00457679,0.000360836,-0.004338402,0.011273017
2016-8-3,-0.001061617,0.010022834,0.008185472,0.00396041,0.005780363,0.006981643
2016-8-4,0.001153938,-0.005454565,-0.008185472,-0.001438268,0.00431345,0.008774011
