Date,029_XLB_1d_actual_lnrts,029_XLB_1d_forecast_lnrts,029_XLB_1d_true_label,029_XLB_1d_forecast_label
2016-09-09,-0.029493280169865802,-0.009082695469260216,-1.0,-1.0
2016-09-12,0.009440952214668128,-0.0074900053441524506,1.0,-1.0
2016-09-13,-0.018759117645731904,-0.0067602358758449554,-1.0,-1.0
2016-09-14,-0.002343144427296941,-0.005580013617873192,-1.0,-1.0
2016-09-15,0.006377582005338777,-0.009596562944352627,1.0,-1.0
2016-09-16,-0.004008065546659231,-0.010681173764169216,-1.0,-1.0
2016-09-19,0.0014959153166688027,-0.009446226060390472,1.0,-1.0
2016-09-20,-0.0029940499034000223,-0.006496057845652103,-1.0,-1.0
2016-09-21,0.015092240231764127,-0.006545844487845898,1.0,-1.0
2016-09-22,0.003159590225904077,-0.00560546200722456,1.0,-1.0
2016-09-23,-0.005060039540205182,-0.009608968161046505,-1.0,-1.0
2016-09-26,-0.004661127062515195,-0.009593228809535503,-1.0,-1.0
2016-09-27,0.002968655015645418,-0.008197220042347908,1.0,-1.0
2016-09-28,0.011368565094105615,-0.00813419558107853,1.0,-1.0
2016-09-29,-0.007775643732934849,-0.009825465269386768,-1.0,-1.0
2016-09-30,0.007356829460667547,-0.004809792153537273,1.0,-1.0
2016-10-03,-0.0012573679541336156,-0.008385076187551022,-1.0,-1.0
2016-10-04,-0.013723437558447323,-0.00776301696896553,-1.0,-1.0
2016-10-05,0.0067797801635414885,-0.005969757214188576,1.0,-1.0
2016-10-06,0.008201025349039558,-0.00571337528526783,1.0,-1.0
2016-10-07,-0.018814473241747936,-0.009457007981836796,-1.0,-1.0
2016-10-10,0.0059573395840362975,-0.004474773071706295,1.0,-1.0
2016-10-11,-0.013669510427659721,-0.006235215812921524,-1.0,-1.0
2016-10-12,-0.001937355568636809,-0.007058885879814625,-1.0,-1.0
2016-10-13,-0.005184809698620576,-0.006298251450061798,-1.0,-1.0
2016-10-14,0.0032436934965213936,-0.005243822932243347,1.0,-1.0
2016-10-17,0.0008631419647600922,-0.0073667364194989204,1.0,-1.0
2016-10-18,0.009018652865053328,-0.004474549554288387,1.0,-1.0
2016-10-19,0.007241839618328018,-0.008049555122852325,1.0,-1.0
2016-10-20,-0.0008492144313673562,-0.007367078214883804,-1.0,-1.0
2016-10-21,-0.00042486696893488955,-0.010396464727818966,-1.0,-1.0
2016-10-24,0.002334591710490727,-0.005357957445085049,1.0,-1.0
2016-10-25,-0.009157651908661767,-0.0050037698820233345,-1.0,-1.0
2016-10-26,-0.0014987977931743056,-0.004509175196290016,-1.0,-1.0
2016-10-27,-0.00128637416113201,-0.004404631443321705,-1.0,-1.0
2016-10-28,0.0025711175162680565,-0.004853340797126293,1.0,-1.0
2016-10-31,0.00042788852681710336,-0.0051408614963293076,1.0,-1.0
2016-11-01,-0.005792132404346721,-0.0067864153534173965,-1.0,-1.0
2016-11-02,-0.005393152186346505,-0.006895669735968113,-1.0,-1.0
2016-11-03,0.000216258995332516,-0.005419163964688778,1.0,-1.0
2016-11-04,0.0034542382148345526,-0.010006175376474857,1.0,-1.0
2016-11-07,0.015185788517104748,-0.006794331595301628,1.0,-1.0
2016-11-08,0.003179073983012638,-0.00526859425008297,1.0,-1.0
2016-11-09,0.020938680635293718,-0.005952433682978153,1.0,-1.0
2016-11-10,0.0115370165258548,-0.009517576545476913,1.0,-1.0
2016-11-11,-0.013818840200555682,-0.007778726518154144,-1.0,-1.0
2016-11-14,0.0022818236747009064,-0.007973205298185349,1.0,-1.0
2016-11-15,0.004135701517155358,-0.00518021872267127,1.0,-1.0
2016-11-16,-0.0018589251028470434,-0.004241207614541054,-1.0,-1.0
2016-11-17,0.00041353138073359447,-0.007108480669558048,1.0,-1.0
2016-11-18,-0.001447802538261352,-0.007899472489953041,-1.0,-1.0
2016-11-21,0.011727329561237168,-0.004914671182632446,1.0,-1.0
2016-11-22,0.006117490723461449,-0.0005243659252300858,1.0,-1.0
2016-11-23,0.004462434851596686,-0.0059082238003611565,1.0,-1.0
2016-11-25,0.0030313145097219745,-0.007650020532310009,1.0,-1.0
2016-11-28,-0.004043722327377537,-0.008372499607503414,-1.0,-1.0
2016-11-29,0.0010124078176556026,-0.008591330610215664,1.0,-1.0
2016-11-30,0.01066949874436258,-0.008912870660424232,1.0,-1.0
2016-12-01,0.0004003701787850729,-0.006755731999874115,1.0,-1.0
2016-12-02,0.0004003119841551853,-0.006700824946165085,1.0,-1.0
2016-12-05,0.00777284676055402,-0.009072267450392246,1.0,-1.0
2016-12-06,0.0011904066564458599,-0.011113524436950684,1.0,-1.0
2016-12-07,0.014176350235511526,-0.008356045000255108,1.0,-1.0
2016-12-08,0.0066251177799364624,-0.0050452593713998795,1.0,-1.0
2016-12-09,0.00019416903306200756,-0.007392833009362221,1.0,-1.0
2016-12-12,-0.004476031067826101,-0.008952023461461067,-1.0,-1.0
2016-12-13,-0.001561666511164378,-0.009130480699241161,-1.0,-1.0
2016-12-14,-0.011987845629284568,-0.010239179246127605,-1.0,-1.0
2016-12-15,0.006503127611180798,-0.008184058591723442,1.0,-1.0
2016-12-16,-0.003089330088285159,-0.009052310138940811,-1.0,-1.0
2016-12-19,-0.001985231536837042,-0.007678568363189697,-1.0,-1.0
2016-12-20,0.0007946380488562603,-0.010249056853353977,1.0,-1.0
2016-12-21,0.00039704213089872243,-0.009112211875617504,1.0,-1.0
2016-12-22,-0.0041770175352422185,-0.010090853087604046,-1.0,-1.0
2016-12-23,0.001991241699278508,-0.008954482153058052,1.0,-1.0
2016-12-27,0.005356650980882324,-0.01036303211003542,1.0,-1.0
2016-12-28,-0.010142369940332274,-0.00982982013374567,-1.0,-1.0
2016-12-29,0.0,-0.010447783395648003,0.0,-1.0
2016-12-30,-0.006617880750834289,-0.008594674058258533,-1.0,-1.0
