Date,026_XLI_1d_actual_lnrts,026_XLI_1d_forecast_lnrts,026_XLI_1d_true_label,026_XLI_1d_forecast_label
2016-02-18,-0.0005833878220477967,-0.00014377920888364315,-1.0,-1.0
2016-02-19,-0.0019466703083908456,0.0022027469240128994,-1.0,1.0
2016-02-22,0.016810392652212475,-0.0007451181299984455,1.0,-1.0
2016-02-23,-0.01001364172718275,0.003165168920531869,-1.0,1.0
2016-02-24,0.0005805660138002937,0.0025924029760062695,1.0,1.0
2016-02-25,0.013067016452502698,-0.0007506078109145164,1.0,-1.0
2016-02-26,0.0013355962257437393,-0.000955651979893446,1.0,-1.0
2016-02-29,-0.006311731804060731,0.005276685580611229,-1.0,1.0
2016-03-01,0.019381246059145627,-0.0013592974282801151,1.0,-1.0
2016-03-02,0.0007524993109486974,-0.0046175625175237656,1.0,-1.0
2016-03-03,0.0071201488162622225,0.0032210510689765215,1.0,1.0
2016-03-04,0.004099027341982563,-0.000690000131726265,1.0,-1.0
2016-03-07,0.0029707062867541894,-0.006680872291326523,1.0,-1.0
2016-03-08,-0.014189882444999084,-0.002517084125429392,-1.0,-1.0
2016-03-09,0.003191562340762436,0.0029845591634511948,1.0,1.0
2016-03-10,-0.0015007837161562804,-0.0024908483028411865,-1.0,-1.0
2016-03-11,0.014351383663487137,-0.0015582861378788948,1.0,-1.0
2016-03-14,0.0009247399151083298,0.0032372355926781893,1.0,1.0
2016-03-15,-0.0005547720066107079,0.0005559809505939484,-1.0,1.0
2016-03-16,0.0035083820413111737,-0.002950250171124935,1.0,-1.0
2016-03-17,0.021698389531529746,-0.00028302869759500027,1.0,-1.0
2016-03-18,0.008539008778452527,-0.0023126844316720963,1.0,-1.0
2016-03-21,0.005914437184065373,0.0013733603991568089,1.0,1.0
2016-03-22,-0.005734750837194479,-0.0021537570282816887,-1.0,-1.0
2016-03-23,-0.0064910952909919255,-0.0012437945697456598,-1.0,-1.0
2016-03-24,-0.002898667267167327,-0.004864592105150223,-1.0,-1.0
2016-03-28,0.00036287039539381773,-0.00183924101293087,1.0,-1.0
2016-03-29,0.006507597099642348,0.0007602993864566088,1.0,1.0
2016-03-30,0.0018001332783452852,0.0003542645135894418,1.0,1.0
2016-03-31,-0.002340798325493357,-0.0008752120193094015,-1.0,-1.0
2016-04-01,0.004676278156918417,0.0014522501733154058,1.0,1.0
2016-04-04,-0.011368951698749187,0.00014052935875952244,-1.0,1.0
2016-04-05,-0.00618979399353473,-0.003718301188200712,-1.0,-1.0
2016-04-06,0.004918444834559748,-0.002582375891506672,1.0,-1.0
2016-04-07,-0.009677698335735006,-0.0004882225766777992,-1.0,-1.0
2016-04-08,0.003845747348765527,-0.00035758037120103836,1.0,-1.0
2016-04-11,0.00036553275712596756,-0.005408864933997393,1.0,-1.0
2016-04-12,0.005829956951315691,0.0009469211800023913,1.0,1.0
2016-04-13,0.014785672916185072,0.001128247706219554,1.0,1.0
2016-04-14,0.001788296259397975,9.251921437680721e-05,1.0,1.0
2016-04-15,0.001428308566947436,-0.005548606161028147,1.0,-1.0
2016-04-18,0.0008916028399016093,-0.0007813051342964172,1.0,-1.0
2016-04-19,0.007104786187432776,-0.003056831657886505,1.0,-1.0
2016-04-20,-0.001594053594689987,-0.0016695139929652214,-1.0,-1.0
2016-04-21,-0.0024850101765973936,-0.0037665809504687786,-1.0,-1.0
2016-04-22,0.002485010176597336,-0.00495840422809124,1.0,-1.0
2016-04-25,-0.004797904672618489,-0.002205878496170044,-1.0,-1.0
2016-04-26,0.008866792246896607,-0.0031431978568434715,1.0,-1.0
2016-04-27,0.007037360099150913,-0.006048344075679779,1.0,-1.0
2016-04-28,-0.009689072114693303,-0.005469379480928183,-1.0,-1.0
2016-04-29,-0.00585900364272949,-0.00307378638535738,-1.0,-1.0
2016-05-02,0.005150593831247876,-0.003960810601711273,1.0,-1.0
2016-05-03,-0.008182178143869068,-0.0049269795417785645,-1.0,-1.0
2016-05-04,-0.012400292812693581,-0.00642496719956398,-1.0,-1.0
2016-05-05,-0.0005424717553224181,-0.0060341572389006615,-1.0,-1.0
2016-05-06,0.006672007879060801,-0.0016594314947724342,1.0,-1.0
2016-05-09,-0.004503288447808795,-0.005724872462451458,-1.0,-1.0
2016-05-10,0.01700572435432877,-0.0030249692499637604,1.0,-1.0
2016-05-11,-0.008377207079939832,-0.004977596923708916,-1.0,-1.0
2016-05-12,-0.002150141051683032,-0.0017159616108983755,-1.0,-1.0
2016-05-13,-0.012635531864502095,-0.0019013099372386932,-1.0,-1.0
2016-05-16,0.012276762136251954,-0.007482650689780712,1.0,-1.0
2016-05-17,-0.004856589613511281,-0.009012425318360329,-1.0,-1.0
2016-05-18,-0.0034317363121966764,-0.003022600896656513,-1.0,-1.0
2016-05-19,-0.009452937457925486,-0.000857052393257618,-1.0,-1.0
2016-05-20,0.005100962525909311,-0.005494099576026201,1.0,-1.0
2016-05-23,-0.0018186647733955063,-0.005520348437130451,-1.0,-1.0
2016-05-24,0.010323352521349347,-0.001151922158896923,1.0,-1.0
2016-05-25,0.006823512259619635,-0.005768891423940659,1.0,-1.0
2016-05-26,-0.002867517388562788,-0.010407520458102226,-1.0,-1.0
2016-05-27,0.003761831481015162,-0.007533342577517033,1.0,-1.0
2016-05-31,-0.00017882835534353535,-0.00405283086001873,-1.0,-1.0
2016-06-01,0.0008938221523728875,-0.007209038361907005,1.0,-1.0
2016-06-02,0.00124986311855135,-0.007701811380684376,1.0,-1.0
2016-06-03,-0.0008926315155742955,-0.003123695030808449,-1.0,-1.0
2016-06-06,0.009421493182932754,-0.002678892109543085,1.0,-1.0
2016-06-07,0.004765651104987357,-0.006702522747218609,1.0,-1.0
2016-06-08,0.006319173302110975,-0.0044211274944245815,1.0,-1.0
2016-06-09,-0.00017506465073965558,-0.002936664503067732,-1.0,-1.0
2016-06-10,-0.011794807159125193,-0.007110840640962124,-1.0,-1.0
2016-06-13,-0.010860920202732285,-0.004458861891180277,-1.0,-1.0
2016-06-14,0.0001789465601912743,-0.005578566808253527,1.0,-1.0
2016-06-15,0.00035787089607198857,-0.0035711913369596004,1.0,-1.0
2016-06-16,0.0017876569663031353,-0.0033449269831180573,1.0,-1.0
2016-06-17,0.0008436946901811618,-0.00394686171784997,1.0,-1.0
