Date,019_EWK_1d_actual_lnrts,019_EWK_1d_forecast_lnrts,019_EWK_1d_true_label,019_EWK_1d_forecast_label
2016-04-12,0.002266293876543688,0.0033190548419952393,1.0,1.0
2016-04-13,0.002825649157539965,0.0006738258525729179,1.0,1.0
2016-04-14,0.004504578160273171,0.0028094069566577673,1.0,1.0
2016-04-15,0.0011228794929695669,0.001283416524529457,1.0,1.0
2016-04-18,0.007825625822060108,0.00042412569746375084,1.0,1.0
2016-04-19,0.011624996874505978,5.482323467731476e-05,1.0,1.0
2016-04-20,-0.00607253052740166,0.0017882823012769222,-1.0,1.0
2016-04-21,-0.01001676747109801,0.0004827044904232025,-1.0,1.0
2016-04-22,-0.0016790470408876374,0.0001295013353228569,-1.0,1.0
2016-04-25,0.00279696322934994,0.001960266148671508,1.0,1.0
2016-04-26,-0.003357446743857778,0.00023846281692385674,-1.0,1.0
2016-04-27,0.007260571415356589,-0.0008527976460754871,1.0,-1.0
2016-04-28,-0.006140208183822546,-0.0007725302129983902,-1.0,-1.0
2016-04-29,0.0033538091318551775,0.002646121894940734,1.0,1.0
2016-05-02,0.00833566895452006,-0.0009375023655593395,1.0,-1.0
2016-05-03,-0.007777686840346987,0.001250045606866479,-1.0,1.0
2016-05-04,-0.01121724497356824,-0.0021140645258128643,-1.0,-1.0
2016-05-05,-0.0016933811420497091,5.5394601076841354e-05,-1.0,1.0
2016-05-06,0.002257224343435459,0.001636285101994872,1.0,1.0
2016-05-09,0.003938258206361679,0.0007727993652224541,1.0,1.0
2016-05-10,0.003922519643653797,-0.0003817658871412277,1.0,-1.0
2016-05-11,0.0027926239221669823,0.0022925271186977625,1.0,1.0
2016-05-12,-0.0016747077337047422,0.0030337837524712086,-1.0,1.0
2016-05-13,-0.007851843912365373,-0.0016600876115262508,-1.0,-1.0
2016-05-16,0.01175496858386413,0.0007231184281408787,1.0,1.0
2016-05-17,-0.011754968583864218,-0.0007806313224136829,-1.0,-1.0
2016-05-18,-0.006212920728326975,0.0035430779680609703,-1.0,1.0
2016-05-19,0.0011324169433810948,5.0702597945928574e-05,1.0,1.0
2016-05-20,0.006206027321819967,0.0005645309574902058,1.0,1.0
2016-05-23,0.0011241999959931907,0.0015462646260857582,1.0,1.0
2016-05-24,0.010061559841365121,0.0023627132177352905,1.0,1.0
2016-05-25,0.007756370397040609,0.0006938767619431019,1.0,1.0
2016-05-26,0.009884633536442193,-0.000509987585246563,1.0,-1.0
2016-05-27,-0.004381289233730955,-0.0005359500646591187,-1.0,-1.0
2016-05-31,0.002740696107631775,-0.0012244111858308315,1.0,-1.0
2016-06-01,0.012510228055656275,-0.0003256737254559994,1.0,-1.0
2016-06-02,0.001620380904933732,-0.002171269152313471,1.0,-1.0
