Date,024_XLE_1d_actual_lnrts,024_XLE_1d_forecast_lnrts,024_XLE_1d_true_label,024_XLE_1d_forecast_label
2016-02-29,-0.011422634916860816,-0.012126725167036057,-1.0,-1.0
2016-03-01,0.025821478647893102,-0.008671180345118046,1.0,-1.0
2016-03-02,0.024163046586533447,-0.01461880374699831,1.0,-1.0
2016-03-03,0.01501782206446782,-0.010716858319938183,1.0,-1.0
2016-03-04,0.009559912213860587,-0.01866290718317032,1.0,-1.0
2016-03-07,0.023187092270983724,-0.017813390120863914,1.0,-1.0
2016-03-08,-0.04290112339947856,-0.022493239492177963,-1.0,-1.0
2016-03-09,0.016098710348788053,-0.007963240146636963,1.0,-1.0
2016-03-10,0.0008228594975678844,-0.014917443506419659,1.0,-1.0
2016-03-11,0.025498665771079537,-0.01164738554507494,1.0,-1.0
2016-03-14,-0.006596372331396357,-0.01648986153304577,-1.0,-1.0
2016-03-15,-0.0019389143928852516,-0.014559738337993622,-1.0,-1.0
2016-03-16,0.01715742060877817,-0.018081393092870712,1.0,-1.0
2016-03-17,0.01357985892721853,-0.008050452917814255,1.0,-1.0
2016-03-18,0.002870675352270548,-0.006618926301598549,1.0,-1.0
2016-03-21,-0.0034711735690560424,-0.010431293398141861,-1.0,-1.0
2016-03-22,-0.005547191096249221,-0.01308479718863964,-1.0,-1.0
2016-03-23,-0.022176639450064886,-0.009592562913894653,-1.0,-1.0
2016-03-24,0.004862990510262977,-0.015959780663251877,1.0,-1.0
2016-03-28,-0.0053505808832940765,-0.015262521803379059,-1.0,-1.0
2016-03-29,0.0047035852119916895,-0.019019225612282753,1.0,-1.0
2016-03-30,0.0019398000466850456,-0.00972325075417757,1.0,-1.0
2016-03-31,-0.0004845804801804964,-0.010825377888977528,-1.0,-1.0
2016-04-01,-0.013501590914794085,-0.017546402290463448,-1.0,-1.0
2016-04-04,-0.007397170667215486,-0.021141573786735535,-1.0,-1.0
2016-04-05,-0.0067875826298741705,-0.015013650059700012,-1.0,-1.0
2016-04-06,0.02136496212525603,-0.013174153864383698,1.0,-1.0
2016-04-07,-0.005870951891217198,-0.009469830431044102,-1.0,-1.0
2016-04-08,0.019918103056481923,-0.014555326662957668,1.0,-1.0
2016-04-11,-0.004177401211232973,-0.017183249816298485,-1.0,-1.0
2016-04-12,0.02935095078506579,-0.007107693701982498,1.0,-1.0
2016-04-13,0.004679423429300166,-0.011936747469007969,1.0,-1.0
2016-04-14,0.002331598863991164,-0.0033475132659077644,1.0,-1.0
2016-04-15,-0.013599323480047517,-0.015865100547671318,-1.0,-1.0
2016-04-18,0.016389913581974277,-0.007180694490671158,1.0,-1.0
2016-04-19,0.01977533440386319,-0.01349316630512476,1.0,-1.0
2016-04-20,0.008915820454952232,-0.011488433927297592,1.0,-1.0
2016-04-21,-0.005884534164402747,-0.016331184655427933,-1.0,-1.0
2016-04-22,0.014423237871919157,-0.009717370383441448,1.0,-1.0
2016-04-25,-0.011250196084868358,-0.009709203615784645,-1.0,-1.0
2016-04-26,0.015863654776468575,-0.011679673567414284,1.0,-1.0
2016-04-27,0.01882689169776523,-0.015096724964678288,1.0,-1.0
2016-04-28,-0.014973892935317226,-0.010176310315728188,-1.0,-1.0
2016-04-29,-0.001628254032117282,-0.01430231612175703,-1.0,-1.0
2016-05-02,-0.0010375817748464924,-0.013800662010908127,-1.0,-1.0
2016-05-03,-0.023862453321785018,-0.022212456911802292,-1.0,-1.0
2016-05-04,-0.014534010921339621,-0.015393895097076893,-1.0,-1.0
2016-05-05,0.008134435622224058,-0.009081085212528706,1.0,-1.0
2016-05-06,-0.002295560834995578,-0.010093019343912601,-1.0,-1.0
2016-05-09,-0.014661725990670227,-0.018641160801053047,-1.0,-1.0
2016-05-10,0.01741578966508522,-0.011938603594899178,1.0,-1.0
2016-05-11,0.0030509801207599927,-0.015588589943945408,1.0,-1.0
2016-05-12,0.002738144333077202,-0.011743875220417976,1.0,-1.0
2016-05-13,-0.012842268581925756,-0.023207498714327812,-1.0,-1.0
2016-05-16,0.016784120332845036,-0.014499603770673275,1.0,-1.0
2016-05-17,0.004679634547394008,-0.018461745232343674,1.0,-1.0
2016-05-18,-0.009685213243343007,-0.014113602228462696,-1.0,-1.0
2016-05-19,0.00015180789715216306,-0.014505613595247269,1.0,-1.0
2016-05-20,0.005912315619052941,-0.018951935693621635,1.0,-1.0
2016-05-23,-0.00257286547646626,-0.01398944016546011,-1.0,-1.0
2016-05-24,0.004988239850321301,-0.010590466670691967,1.0,-1.0
2016-05-25,0.015708359303916446,-0.017775757238268852,1.0,-1.0
2016-05-26,-0.004164793678599571,-0.01948593556880951,-1.0,-1.0
2016-05-27,0.00059599575263914,-0.018865622580051422,1.0,-1.0
2016-05-31,-0.003880477577710598,-0.01743124984204769,-1.0,-1.0
2016-06-01,0.00029889770330792547,-0.012395755387842655,1.0,-1.0
2016-06-02,-0.0013462598970394933,-0.020780425518751144,-1.0,-1.0
2016-06-03,-0.0038997473734920644,-0.013926578685641289,-1.0,-1.0
2016-06-06,0.02185146535855286,-0.014180569909512997,1.0,-1.0
2016-06-07,0.022391200121842505,-0.01774410717189312,1.0,-1.0
2016-06-08,-0.0023032367943697585,-0.019116275012493134,-1.0,-1.0
2016-06-09,-0.007667252032515225,-0.015388596802949905,-1.0,-1.0
2016-06-10,-0.02187579158261572,-0.020067133009433746,-1.0,-1.0
2016-06-13,-0.002973032741940375,-0.019066864624619484,-1.0,-1.0
2016-06-14,-0.0005957651840201305,-0.018511667847633362,-1.0,-1.0
2016-06-15,-0.002386242046993446,-0.019459711387753487,-1.0,-1.0
2016-06-16,-0.0047894310092717165,-0.017551738768815994,-1.0,-1.0
2016-06-17,0.010157348878472694,-0.01861373707652092,1.0,-1.0
2016-06-20,0.008633507409521478,-0.014054142870008945,1.0,-1.0
2016-06-21,0.01178738698711049,-0.020587200298905373,1.0,-1.0
2016-06-22,-0.005581701307085184,-0.01696965843439102,-1.0,-1.0
2016-06-23,0.016362702610485048,-0.021605772897601128,1.0,-1.0
2016-06-24,-0.03644818547573544,-0.021058464422822,-1.0,-1.0
2016-06-27,-0.02896980807651667,-0.024275116622447968,-1.0,-1.0
2016-06-28,0.02746586581475765,-0.02811877615749836,1.0,-1.0
2016-06-29,0.018786962543326194,-0.022383639588952065,1.0,-1.0
2016-06-30,0.00794469705579973,-0.025022730231285095,1.0,-1.0
2016-07-01,0.005261624391381387,-0.017622174695134163,1.0,-1.0
2016-07-05,-0.020321900751712047,-0.019488036632537842,-1.0,-1.0
2016-07-06,0.004305117853124964,-0.02269306220114231,1.0,-1.0
2016-07-07,-0.01027333054183164,-0.022688794881105423,-1.0,-1.0
2016-07-08,0.0132315118057533,-0.023462427780032158,1.0,-1.0
2016-07-11,0.0019180072870769508,-0.025523202493786812,1.0,-1.0
2016-07-12,0.024462532572621327,-0.02078981325030327,1.0,-1.0
2016-07-13,-0.008668042496617899,-0.030453409999608994,-1.0,-1.0
2016-07-14,0.005065473446832241,-0.02404053322970867,1.0,-1.0
2016-07-15,-0.0005776965243808141,-0.03025468997657299,-1.0,-1.0
2016-07-18,0.0007219486728314927,-0.021609263494610786,1.0,-1.0
2016-07-19,-0.005645167316117612,-0.02632962353527546,-1.0,-1.0
2016-07-20,-0.001452601919219759,-0.023284753784537315,-1.0,-1.0
2016-07-21,-0.009934352125310198,-0.025103630498051643,-1.0,-1.0
2016-07-22,0.0030785608574791672,-0.02116386964917183,1.0,-1.0
2016-07-25,-0.02010727048177704,-0.02682163380086422,-1.0,-1.0
2016-07-26,0.00580753104793121,-0.01778721809387207,1.0,-1.0
2016-07-27,-0.00984787324850877,-0.024769049137830734,-1.0,-1.0
2016-07-28,0.00014984790014914748,-0.01747090555727482,1.0,-1.0
2016-07-29,0.01014329827142146,-0.028368454426527023,1.0,-1.0
2016-08-01,-0.03350231616231135,-0.020107073709368706,-1.0,-1.0
2016-08-02,0.009013853840953552,-0.02650841698050499,1.0,-1.0
2016-08-03,0.019131437247712255,-0.02570611611008644,1.0,-1.0
2016-08-04,-0.0014932868499426882,-0.03031143732368946,-1.0,-1.0
