Date,003_EWJ_1d_actual_lnrts,003_EWJ_1d_forecast_lnrts,003_EWJ_1d_true_label,003_EWJ_1d_forecast_label
2016-05-03,-0.00950317589715504,-0.003785447683185339,-1.0,-1.0
2016-05-04,-0.00871845565378348,-0.0014095483347773552,-1.0,-1.0
2016-05-05,0.0052400916906259025,0.0005838754586875439,1.0,1.0
2016-05-06,0.005212953008064055,-0.00021690805442631245,1.0,-1.0
2016-05-09,-0.0008670511412720623,-0.0011835899204015732,-1.0,-1.0
2016-05-10,0.02484072429448788,-0.003127027302980423,1.0,-1.0
2016-05-11,-0.018787820116961406,-0.003053924534469843,-1.0,-1.0
2016-05-12,0.00772853744176636,0.001205213600769639,1.0,1.0
2016-05-13,-0.013781441619292628,-0.0010805372148752213,-1.0,-1.0
2016-05-16,0.013781441619292732,-0.0008379046339541674,1.0,-1.0
2016-05-17,-0.006866892111446878,-0.002649518661201,-1.0,-1.0
2016-05-18,0.0008609913305763932,0.001424688147380948,1.0,1.0
2016-05-19,-0.006908489697150219,-0.0012557287700474262,-1.0,-1.0
2016-05-20,0.00690848969715028,0.0021656849421560764,1.0,1.0
2016-05-23,-0.004312322787001411,-0.003078760579228401,-1.0,-1.0
2016-05-24,0.007748762902158326,-9.131012484431267e-05,1.0,-1.0
2016-05-25,0.006837545873181353,-0.0010372428223490715,1.0,-1.0
2016-05-26,-0.0008521870524494776,-0.0065397657454013824,-1.0,-1.0
2016-05-27,-0.0025607963872775036,0.0007155686616897583,-1.0,1.0
2016-05-31,0.007662929487915119,-0.004758266732096672,1.0,-1.0
2016-06-01,-0.0008485065038245542,-0.005966239608824253,-1.0,-1.0
2016-06-02,-0.008525183658791255,-0.0030752476304769516,-1.0,-1.0
2016-06-03,0.004271557061978036,-0.0026825126260519028,1.0,-1.0
2016-06-06,0.010178366526785576,-0.002171414904296398,1.0,-1.0
2016-06-07,0.006728367572532224,-0.0035002464428544044,1.0,-1.0
2016-06-08,0.005850272048099624,-0.0034750732593238354,1.0,-1.0
2016-06-09,-0.011735250842345004,-0.005594334565103054,-1.0,-1.0
2016-06-10,-0.017865238089389314,-0.0016473457217216492,-1.0,-1.0
2016-06-13,-0.01819015261081692,-0.001950965728610754,-1.0,-1.0
2016-06-14,-0.0043801664103284,-0.001627808902412653,-1.0,-1.0
2016-06-15,0.00961129887711866,0.00030478578992187977,1.0,1.0
2016-06-16,-0.004357352241883805,-0.0012037968263030052,-1.0,-1.0
2016-06-17,-0.0017482353562437824,0.0019517532782629132,-1.0,1.0
2016-06-20,0.0224921923714526,-0.0014331713318824768,1.0,-1.0
2016-06-21,0.0068203193419993655,-0.0014497758820652962,1.0,-1.0
2016-06-22,-0.015182372629185991,-0.0033448408357799053,-1.0,-1.0
2016-06-23,0.0222230961689042,-0.0017524906434118748,1.0,-1.0
2016-06-24,-0.04230239655872531,-0.0049774376675486565,-1.0,-1.0
2016-06-27,-0.005305054856404475,-0.0018250718712806702,-1.0,-1.0
2016-06-28,0.014958495006319086,0.001463637687265873,1.0,1.0
2016-06-29,0.013015429246765565,-0.0022744466550648212,1.0,-1.0
2016-06-30,-0.008658118078470875,-0.003052186220884323,-1.0,-1.0
2016-07-01,-0.001740726613196512,-0.0002620320301502943,-1.0,-1.0
2016-07-05,0.0,-0.0009456798434257507,0.0,-1.0
2016-07-06,0.0,-0.0020740963518619537,0.0,-1.0
2016-07-07,0.0008707420726933165,-0.004641338251531124,1.0,-1.0
2016-07-08,0.006938533612115084,-0.0036346931010484695,1.0,-1.0
2016-07-11,0.0239123653261684,-0.003787787165492773,1.0,-1.0
2016-07-12,0.005889664705181329,-0.00430590333417058,1.0,-1.0
2016-07-13,-0.0016792338848087677,-0.00791922863572836,-1.0,-1.0
2016-07-14,0.0016792338848087443,-0.002768754493445158,1.0,-1.0
2016-07-15,-0.0033612280613933235,-0.0036020935513079166,-1.0,-1.0
2016-07-18,0.0025220170276990853,0.00022694841027259827,1.0,1.0
2016-07-19,-0.00673972282875128,-0.0019630291499197483,-1.0,-1.0
2016-07-20,0.008417547893231608,-0.006413188762962818,1.0,-1.0
2016-07-21,-0.007572556610856468,-0.0027388925664126873,-1.0,-1.0
2016-07-22,0.0016876718476660415,-0.0006515576969832182,1.0,-1.0
2016-07-25,-0.0033783474916579347,-0.006252085790038109,-1.0,-1.0
2016-07-26,0.0008456843616165148,-0.00299582676962018,1.0,-1.0
2016-07-27,0.0016892691572639798,-0.0035411864519119263,1.0,-1.0
2016-07-28,0.0,-0.0019383057951927185,0.0,-1.0
2016-07-29,0.017566298978046176,-0.005049563944339752,1.0,-1.0
2016-08-01,0.0033112907478917877,-0.0026559503749012947,1.0,-1.0
2016-08-02,-0.012474296307765122,-0.005015917122364044,-1.0,-1.0
2016-08-03,-0.00503350604808308,-0.003051578067243099,-1.0,-1.0
2016-08-04,0.014196511607956333,-0.008164629340171814,1.0,-1.0
2016-08-05,0.0033112907478917877,-0.0058385832235217094,1.0,-1.0
2016-08-08,0.0041236384914655295,-0.004318016115576029,1.0,-1.0
2016-08-09,0.009012851459319954,-0.006014443002641201,1.0,-1.0
2016-08-10,0.00325719514466252,-0.006521147675812244,1.0,-1.0
2016-08-11,0.007290467837066339,-0.003067971672862768,1.0,-1.0
2016-08-12,-0.004854401458307677,-0.005151079967617989,-1.0,-1.0
2016-08-15,0.005661134341054987,-0.0038620256818830967,1.0,-1.0
2016-08-16,-0.008910474355222893,-0.006256931461393833,-1.0,-1.0
2016-08-17,0.0081037414724757,-0.00524905975908041,1.0,-1.0
