Date,022_XLV_1d_actual_lnrts,022_XLV_1d_forecast_lnrts,022_XLV_1d_true_label,022_XLV_1d_forecast_label
2016-06-27,-0.01350869701404905,-0.005203274078667164,-1.0,-1.0
2016-06-28,0.019263192709880438,-0.00348275457508862,1.0,-1.0
2016-06-29,0.018899554802689258,-0.0068756891414523125,1.0,-1.0
2016-06-30,0.00938698927734183,-0.0065040308982133865,1.0,-1.0
2016-07-01,0.0062557823826505715,-0.006552784703671932,1.0,-1.0
2016-07-05,-0.0009707518253753251,-0.005964784882962704,-1.0,-1.0
2016-07-06,0.011173399452989305,-0.0058472841046750546,1.0,-1.0
2016-07-07,-0.0015099896253505376,-0.015099551528692245,-1.0,-1.0
2016-07-08,0.012288440718902028,-0.01282583735883236,1.0,-1.0
2016-07-11,-0.0027176164656152104,-0.01018373854458332,-1.0,-1.0
2016-07-12,0.004886443275501127,-0.008530469611287117,1.0,-1.0
2016-07-13,-0.0004062848042720691,-0.012275364249944687,-1.0,-1.0
2016-07-14,0.004325662498142484,-0.015705950558185577,1.0,-1.0
2016-07-15,-0.0008096506278900897,-0.013389510102570057,-1.0,-1.0
2016-07-18,0.0004048590990763346,-0.007887307554483414,1.0,-1.0
2016-07-19,-0.0021613197425647264,-0.013708601705729961,-1.0,-1.0
2016-07-20,0.009019360174130377,-0.012107633985579014,1.0,-1.0
2016-07-21,0.0029439137946081525,-0.00986378826200962,1.0,-1.0
2016-07-22,0.00200234299166607,-0.010487984865903854,1.0,-1.0
2016-07-25,-0.001067340160124554,-0.01513227354735136,-1.0,-1.0
2016-07-26,-0.0017369821896802227,-0.011190253309905529,-1.0,-1.0
2016-07-27,0.004536444515427069,-0.014157579280436039,1.0,-1.0
2016-07-28,-0.0009323877677896155,-0.016546573489904404,-1.0,-1.0
2016-07-29,0.0019966372383165066,-0.015141410753130913,1.0,-1.0
2016-08-01,0.006362992987818622,-0.009227096103131771,1.0,-1.0
2016-08-02,-0.0038394690577864513,-0.016849815845489502,-1.0,-1.0
2016-08-03,-0.0027894224890684625,-0.01967031881213188,-1.0,-1.0
2016-08-04,-0.0014643795821865772,-0.015336176380515099,-1.0,-1.0
2016-08-05,0.0023950473714232957,-0.01304980181157589,1.0,-1.0
2016-08-08,-0.008541268965894664,-0.015592487528920174,-1.0,-1.0
2016-08-09,0.0024096863452606324,-0.012352583929896355,1.0,-1.0
2016-08-10,-0.003348341010761429,-0.015039480291306973,-1.0,-1.0
2016-08-11,0.005751921895665054,-0.012991419062018394,1.0,-1.0
2016-08-12,-0.0025374614804243205,-0.014655045233666897,-1.0,-1.0
2016-08-15,0.0017369821896802394,-0.01241225004196167,1.0,-1.0
2016-08-16,-0.008984395146054489,-0.014165663160383701,-1.0,-1.0
2016-08-17,0.002018399699458332,-0.01568535342812538,1.0,-1.0
2016-08-18,0.0004031723450676996,-0.013731623068451881,1.0,-1.0
2016-08-19,-0.0008065073036387654,-0.010189281776547432,-1.0,-1.0
2016-08-22,0.002015255245361725,-0.010251397266983986,1.0,-1.0
2016-08-23,0.0009390461694248354,-0.013296600431203842,1.0,-1.0
2016-08-24,-0.015812094840911162,-0.017692336812615395,-1.0,-1.0
2016-08-25,-0.008481686920268,-0.012334350496530533,-1.0,-1.0
2016-08-26,0.003839325968139988,-0.011596782132983208,1.0,-1.0
2016-08-29,0.002187320393370938,-0.008649921976029873,1.0,-1.0
2016-08-30,-0.0034199039141270273,-0.010313630104064941,-1.0,-1.0
2016-08-31,-0.0030189449039902533,-0.011013596318662167,-1.0,-1.0
2016-09-01,-0.0026148450279823623,-0.01364895049482584,-1.0,-1.0
2016-09-02,0.0011018496735597278,-0.010988730005919933,1.0,-1.0
2016-09-06,0.0035723106270252607,-0.008308532647788525,1.0,-1.0
2016-09-07,0.0,-0.009186293929815292,0.0,-1.0
2016-09-08,0.0008226519481050291,-0.01223974023014307,1.0,-1.0
2016-09-09,-0.020210963130335883,-0.013692331500351429,-1.0,-1.0
2016-09-12,0.014714150881645986,-0.010163623839616776,1.0,-1.0
2016-09-13,-0.013456573397165118,-0.008380340412259102,-1.0,-1.0
2016-09-14,0.0,-0.008595438674092293,0.0,-1.0
2016-09-15,0.010282150442998118,-0.008701089769601822,1.0,-1.0
2016-09-16,0.0006729837869752829,-0.009551952593028545,1.0,-1.0
2016-09-19,-0.003612332804201839,-0.012585505843162537,-1.0,-1.0
2016-09-20,0.0030573089132963534,-0.006870010867714882,1.0,-1.0
2016-09-21,0.009940838129883825,-0.007177608087658882,1.0,-1.0
2016-09-22,0.007527437097508813,-0.006703038699924946,1.0,-1.0
2016-09-23,-0.003140906878090501,-0.012675579637289047,-1.0,-1.0
2016-09-26,-0.011694338051223253,-0.007590658962726593,-1.0,-1.0
2016-09-27,0.00703287802499516,-0.008227530866861343,1.0,-1.0
2016-09-28,-0.0015125229096823699,-0.0094253309071064,-1.0,-1.0
2016-09-29,-0.017773443951890754,-0.009450813755393028,-1.0,-1.0
2016-09-30,0.010175082429404864,-0.0061382511630654335,1.0,-1.0
2016-10-03,-0.0008324751741581902,-0.009203193709254265,-1.0,-1.0
2016-10-04,-0.0019449389124180396,-0.0081571564078331,-1.0,-1.0
2016-10-05,0.0038862008734907466,-0.0071394010446965694,1.0,-1.0
2016-10-06,-0.003747301459733929,-0.009804613888263702,-1.0,-1.0
2016-10-07,-0.0006953543422083638,-0.007808092050254345,-1.0,-1.0
2016-10-10,0.004581016509455292,-0.008473547175526619,1.0,-1.0
2016-10-11,-0.02538881427668656,-0.006264098919928074,-1.0,-1.0
2016-10-12,-0.004699103797576367,-0.0036750310100615025,-1.0,-1.0
2016-10-13,0.0004279876315069903,-0.006762414239346981,1.0,-1.0
2016-10-14,-0.006728114004484264,-0.004680238198488951,-1.0,-1.0
2016-10-17,-0.0033091293494803727,-0.004110316745936871,-1.0,-1.0
2016-10-18,0.011890494866067648,-0.0015839757397770882,1.0,-1.0
2016-10-19,-0.003709624522860465,-0.0012966885697096586,-1.0,-1.0
2016-10-20,0.004705920552778305,-0.002908481517806649,1.0,-1.0
2016-10-21,-0.008285704687998583,-0.00603658240288496,-1.0,-1.0
2016-10-24,-0.0018666036637485738,-0.0029461816884577274,-1.0,-1.0
2016-10-25,-0.002878666267314291,-0.00016992166638374329,-1.0,-1.0
2016-10-26,-0.006071988138637877,-0.0012551972176879644,-1.0,-1.0
2016-10-27,0.0046295928253304005,-0.0036645717918872833,1.0,-1.0
2016-10-28,-0.021889075124589586,-0.0009564445354044437,-1.0,-1.0
2016-10-31,-0.006215768524140441,0.0006622308865189552,-1.0,1.0
2016-11-01,-0.005358756826989971,0.0038776779547333717,-1.0,1.0
2016-11-02,-0.005237622967792791,-0.0010890441481024027,-1.0,-1.0
2016-11-03,-0.009497270356357952,0.0013633491471409798,-1.0,1.0
2016-11-04,0.006943449237131877,0.002197135239839554,1.0,1.0
2016-11-07,0.02525011341061758,0.0037153679877519608,1.0,1.0
2016-11-08,0.0027828255027667,0.002309096045792103,1.0,1.0
2016-11-09,0.0346424091417685,-0.0016366331838071346,1.0,-1.0
2016-11-10,0.01095964933492277,-0.0036161690950393677,1.0,-1.0
2016-11-11,-0.01506534835632057,-0.004872364457696676,-1.0,-1.0
2016-11-14,-0.003125828510455075,-0.0016292966902256012,-1.0,-1.0
2016-11-15,0.0028420276897995287,-0.0004102680832147598,1.0,-1.0
2016-11-16,-0.004266141345750613,0.000777853187173605,-1.0,1.0
2016-11-17,0.0039823753043040965,0.0020196596160531044,1.0,1.0
2016-11-18,-0.010703010748361911,0.0005340618081390858,-1.0,1.0
2016-11-21,0.0035804136165741595,0.002526010386645794,1.0,1.0
2016-11-22,-0.014544013780747095,-0.0005419161170721054,-1.0,-1.0
2016-11-23,0.0039086425776557856,0.00024217646569013596,1.0,1.0
2016-11-25,0.0038936292251573242,0.00035925954580307007,1.0,1.0
2016-11-28,-0.007512291324522619,0.0022238343954086304,-1.0,1.0
2016-11-29,0.00650427207785261,0.00452033244073391,1.0,1.0
2016-11-30,-0.009554140851598026,0.0009899362921714783,-1.0,1.0
2016-12-01,-0.007299378736087855,-0.0044312202371656895,-1.0,-1.0
2016-12-02,0.0023416673742226333,0.0038349004462361336,1.0,1.0
2016-12-05,-0.0017557065124157974,0.0019299243576824665,-1.0,1.0
2016-12-06,0.002778467942473749,2.400018274784088e-05,1.0,1.0
2016-12-07,-0.008653001385386756,0.0023573264479637146,-1.0,1.0
2016-12-08,0.0019129056387130158,0.0043549006804823875,1.0,1.0
2016-12-09,0.012128434349618966,0.0005959859117865562,1.0,1.0
2016-12-12,0.004781711567251993,0.0008042836561799049,1.0,1.0
2016-12-13,0.008062162585410837,-1.24429352581501e-05,1.0,-1.0
2016-12-14,-0.005175405911417526,-0.0003476985730230808,-1.0,-1.0
2016-12-15,0.006465126701646404,-0.002612144686281681,1.0,-1.0
2016-12-16,0.0007908515224666593,-0.004137633368372917,1.0,-1.0
2016-12-19,-0.004176633309638241,-0.0007209223695099354,-1.0,-1.0
2016-12-20,-0.0007218458769795544,-0.00084708072245121,-1.0,-1.0
2016-12-21,-0.005648511058483641,-7.269810885190964e-05,-1.0,-1.0
2016-12-22,0.0013064004793308184,-0.0033437192905694246,1.0,-1.0
2016-12-23,0.007514420820280198,0.0007438035681843758,1.0,1.0
2016-12-27,0.0020134483720771687,-0.0008460637181997299,1.0,-1.0
2016-12-28,-0.007644135667272058,0.002163904719054699,-1.0,1.0
2016-12-29,0.0017360243557604238,0.0037689469754695892,1.0,1.0
2016-12-30,-0.0036197578808459135,0.006740241311490536,-1.0,1.0
