Date,00632R_ETF_1d_actual_lnrts,00632R_ETF_1d_forecast_lnrts,00632R_ETF_1d_true_label,00632R_ETF_1d_forecast_label
2016-04-28,-0.008554372096658632,0.0022172117605805397,-1.0,1.0
2016-04-29,-0.008974861760698583,0.0034898496232926846,-1.0,1.0
2016-05-03,-0.013966707481708193,0.004881865344941616,-1.0,1.0
2016-05-04,-0.019169916107720286,0.0033558739814907312,-1.0,1.0
2016-05-05,0.005718385846994902,0.003672595601528883,1.0,1.0
2016-05-06,-0.011469659787629408,0.002100348472595215,-1.0,1.0
2016-05-09,0.001440922439512287,-0.004422042053192854,1.0,-1.0
2016-05-10,0.004668710222032994,-0.0059365686029195786,1.0,-1.0
2016-05-13,-0.015526580194082162,-0.002930053509771824,-1.0,-1.0
2016-05-16,-0.0014566644964640444,-0.00022278493270277977,-1.0,-1.0
2016-05-17,0.005813969865419816,-0.002135263988748193,1.0,-1.0
2016-05-18,0.009735068770752413,-0.0009987838566303253,1.0,-1.0
2016-05-20,-0.004315001301413348,-0.00025376479607075453,-1.0,-1.0
2016-05-23,0.02139118998131756,0.0009816280798986554,1.0,1.0
2016-05-24,0.011572985557658564,0.0007010832196101546,1.0,1.0
2016-05-30,0.0196795579464459,6.89666485413909e-05,1.0,1.0
2016-06-01,0.0064747201828100984,-0.002794685773551464,1.0,-1.0
2016-06-03,0.012825015475916805,-0.005612093489617109,1.0,-1.0
2016-06-04,0.0003352891900648109,-0.003951861523091793,1.0,-1.0
2016-06-07,0.011001944613098218,-0.00016370369121432304,1.0,-1.0
2016-06-13,-0.013351333174864113,-0.0011163766030222178,-1.0,-1.0
2016-06-14,-0.003028775662160704,-0.0020277914591133595,-1.0,-1.0
2016-06-16,0.003364740724954604,0.0015794832725077868,1.0,1.0
2016-06-17,0.007696206634470283,0.0002885927679017186,1.0,1.0
2016-06-20,-0.0010005003335835344,-0.00172242964617908,-1.0,-1.0
2016-06-21,0.009960241705055434,-0.004344189539551735,1.0,-1.0
2016-06-24,-0.008626463581351454,-0.0006263874238356948,-1.0,-1.0
2016-06-27,-0.015108563372274767,0.0028434430714696646,-1.0,1.0
2016-06-30,0.02999225138701477,-0.002919340506196022,1.0,-1.0
2016-07-05,0.012398201228113054,-0.0028023882769048214,1.0,-1.0
2016-07-06,-0.016675226994639053,-0.00298819737508893,-1.0,-1.0
2016-07-07,0.008208878800426407,-0.0010871442500501871,1.0,-1.0
2016-07-11,0.02135312447056906,0.004603562876582146,1.0,1.0
2016-07-12,0.006381642589520611,0.004495697095990181,1.0,1.0
2016-07-13,0.0003180155854435648,0.0029911918099969625,1.0,1.0
2016-07-14,-0.0003180155854436472,-0.0008071593474596739,-1.0,-1.0
2016-07-15,0.011385322225125429,0.002538033528253436,1.0,1.0
2016-07-18,0.006269613013595395,0.0013025125954300165,1.0,1.0
2016-07-19,0.002496880198587146,-0.0012907299678772688,1.0,-1.0
2016-07-20,0.00031167212345197253,-0.0008797775954008102,1.0,-1.0
2016-07-21,0.004663462516661976,0.00043164240196347237,1.0,1.0
2016-07-25,-0.010601907847628784,0.0009278879733756185,-1.0,1.0
2016-07-26,0.009360442759563893,0.00235423119738698,1.0,1.0
2016-07-27,0.010503649240528996,-0.004003794398158789,1.0,-1.0
2016-07-28,-0.004311678992608016,-0.0013301721774041653,-1.0,-1.0
2016-08-01,-0.003091192569672858,0.00028801290318369865,-1.0,1.0
2016-08-03,-0.00558834115004993,0.0010621240362524986,-1.0,1.0
2016-08-04,0.0009335616050675845,-0.0013229504693299532,1.0,-1.0
2016-08-08,0.01757406105091791,0.00015398807590827346,1.0,1.0
2016-08-09,0.005790051220702173,0.0008362458902411163,1.0,1.0
2016-08-15,-0.010999194300670258,-0.003957612439990044,-1.0,-1.0
2016-08-16,-0.0046189458562945285,-0.0024394954089075327,-1.0,-1.0
2016-08-17,0.0015420203518154184,-0.0014086987357586622,1.0,-1.0
2016-08-18,0.005225154042768668,-0.005806623492389917,1.0,-1.0
2016-08-22,-0.022319587402068894,-0.008301696740090847,-1.0,-1.0
2016-08-23,0.013389581946542864,-0.006131642032414675,1.0,-1.0
2016-08-24,-0.005272147426576102,-0.006887731142342091,-1.0,-1.0
2016-08-26,0.01665163359244238,-0.010316451080143452,1.0,-1.0
2016-08-29,-0.01571923259249111,-0.008218320086598396,-1.0,-1.0
2016-09-01,-0.0003107037464795568,-0.007031622342765331,-1.0,-1.0
2016-09-05,0.00897144455051734,-0.003696584142744541,1.0,-1.0
2016-09-06,0.01649395975034711,-0.00700251292437315,1.0,-1.0
2016-09-07,0.003628670446702977,-0.0076292091980576515,1.0,-1.0
2016-09-09,-0.015207105706575283,-0.009638842195272446,-1.0,-1.0
2016-09-10,-0.01388696904099223,-0.006338678300380707,-1.0,-1.0
2016-09-12,-0.006234434158428942,-0.0041441163048148155,-1.0,-1.0
2016-09-13,0.003433747715957463,-0.007166552357375622,1.0,-1.0
2016-09-14,-0.0021837475531968444,-0.010752402245998383,-1.0,-1.0
2016-09-20,0.031055531834129547,-0.006268750410526991,1.0,-1.0
2016-09-21,0.0,-0.009450584650039673,0.0,-1.0
2016-09-22,0.0,-0.00948029849678278,0.0,-1.0
2016-09-23,0.0039280908643957385,-0.009877292439341545,1.0,-1.0
2016-09-26,-0.006049625225823113,-0.01131595578044653,-1.0,-1.0
2016-10-04,0.013859818125976727,-0.010157725773751736,1.0,-1.0
2016-10-06,-0.0008980692116844929,-0.01399363111704588,-1.0,-1.0
2016-10-07,-0.004803371589060326,-0.014312638901174068,-1.0,-1.0
2016-10-11,0.006897613192175045,-0.013039005920290947,1.0,-1.0
2016-10-12,-0.003892803239029713,-0.013094384223222733,-1.0,-1.0
2016-10-13,0.0032948958968524846,-0.013745221309363842,1.0,-1.0
2016-10-17,-0.018410056702999535,-0.012291444465517998,-1.0,-1.0
2016-10-18,0.011809372671647542,-0.013829786330461502,1.0,-1.0
2016-10-19,0.005703152183516331,-0.012719693593680859,1.0,-1.0
2016-10-21,0.010125160949873847,-0.012725538574159145,1.0,-1.0
2016-10-24,-0.007136515569319867,-0.011274377815425396,-1.0,-1.0
2016-10-25,0.015986130846302245,-0.01203930750489235,1.0,-1.0
2016-10-31,-0.024076062608273732,-0.011806897819042206,-1.0,-1.0
2016-11-01,0.011069671749766863,-0.011627551168203354,1.0,-1.0
2016-11-02,-0.0065671877814511385,-0.01124794315546751,-1.0,-1.0
2016-11-03,-0.00751544195714632,-0.012999296188354492,-1.0,-1.0
2016-11-04,-0.010617421141860008,-0.010770007967948914,-1.0,-1.0
2016-11-07,0.015734061349031454,-0.010301594622433186,1.0,-1.0
2016-11-08,0.0014999252849577387,-0.010721087455749512,1.0,-1.0
2016-11-10,-0.002100525903612421,-0.012646106071770191,-1.0,-1.0
2016-11-11,-0.02309431110167347,-0.012200385332107544,-1.0,-1.0
2016-11-14,-0.01705203307945194,-0.01090038102120161,-1.0,-1.0
2016-11-15,0.00964687736437569,-0.010521959513425827,1.0,-1.0
2016-11-16,0.008326956364155874,-0.011802898719906807,1.0,-1.0
2016-11-17,-0.0027679550195850214,-0.010171616449952126,-1.0,-1.0
2016-11-18,-0.0021581633164708706,-0.010085951536893845,-1.0,-1.0
2016-11-21,0.00030859435517233434,-0.008131070993840694,1.0,-1.0
2016-11-22,0.01135155616222776,-0.008868247270584106,1.0,-1.0
2016-11-28,0.006991972549418003,-0.005762899294495583,1.0,-1.0
