Date,021_XLF_1d_actual_lnrts,021_XLF_1d_forecast_lnrts,021_XLF_1d_true_label,021_XLF_1d_forecast_label
2016-05-20,0.006917520259579703,-0.0026313678827136755,1.0,-1.0
2016-05-23,-0.0008621042982385516,-0.0032638225238770247,-1.0,-1.0
2016-05-24,0.014980069140870054,-0.002264263341203332,1.0,-1.0
2016-05-25,0.010564166470664205,-0.003965203650295734,1.0,-1.0
2016-05-26,-0.005902242277078551,-0.00581482145935297,-1.0,-1.0
2016-05-27,0.006742612798740591,-0.0006746293511241674,1.0,-1.0
2016-05-31,-0.002523233204891217,-0.003818558296188712,-1.0,-1.0
2016-06-01,0.0021030669643847043,-0.00544306356459856,1.0,-1.0
2016-06-02,0.0020985842419129186,-0.0033167286310344934,1.0,-1.0
2016-06-03,-0.014358316478101409,-0.0010448035318404436,-1.0,-1.0
2016-06-06,0.005937285677954466,0.002657259814441204,1.0,1.0
2016-06-07,-0.002116419739918665,-0.0022929038386791945,-1.0,-1.0
2016-06-08,0.0008469938231512405,-0.004616004414856434,1.0,-1.0
2016-06-09,-0.007223191602564302,-0.002089655725285411,-1.0,-1.0
2016-06-10,-0.01244392741101841,-8.226721547544003e-05,-1.0,-1.0
2016-06-13,-0.006932435290329355,-0.0028746717143803835,-1.0,-1.0
2016-06-14,-0.014892920732462435,-0.0007341227028518915,-1.0,-1.0
2016-06-15,0.0013230246938716523,0.00617947056889534,1.0,1.0
2016-06-16,0.0026408097555292776,0.004170391242951155,1.0,1.0
2016-06-17,0.000395955206167188,0.0016096269246190786,1.0,1.0
2016-06-20,0.005733235251338621,0.005343488417565823,1.0,1.0
2016-06-21,0.005700552553473938,-0.0024732553865760565,1.0,-1.0
2016-06-22,-0.0008749287986192652,0.0014256129506975412,-1.0,1.0
2016-06-23,0.020789022879316495,-0.0003640411887317896,1.0,-1.0
2016-06-24,-0.05506795503242757,-0.0022722717840224504,-1.0,-1.0
2016-06-27,-0.028947482681843214,0.005424598231911659,-1.0,1.0
2016-06-28,0.025317853789504373,-0.0010910576675087214,1.0,-1.0
2016-06-29,0.022472657362780327,-0.0011700598988682032,1.0,-1.0
2016-06-30,0.015873463769526596,-4.8272544518113136e-05,1.0,-1.0
2016-07-01,-0.005263183841711693,-0.004832093603909016,-1.0,-1.0
2016-07-05,-0.015064459700469237,-0.0032446321565657854,-1.0,-1.0
2016-07-06,0.0026749608300159866,-0.002454497152939439,1.0,-1.0
2016-07-07,0.0013347290987847866,-0.004359749145805836,1.0,-1.0
2016-07-08,0.01893915821492028,-0.005566873587667942,1.0,-1.0
2016-07-11,0.005655839223086628,-0.010412142612040043,1.0,-1.0
2016-07-12,0.012503048598189776,-0.00015629339031875134,1.0,-1.0
2016-07-13,0.0,-0.006493209861218929,0.0,-1.0
2016-07-14,0.009381650925217363,-0.010051173157989979,1.0,-1.0
2016-07-15,-0.0016992401265700425,-0.005350514315068722,-1.0,-1.0
2016-07-18,0.0033955283463933854,-0.0010650858748704195,1.0,-1.0
2016-07-19,0.00042372687982213163,-0.0045569417998194695,1.0,-1.0
2016-07-20,0.001692768151551529,-0.00701874028891325,1.0,-1.0
2016-07-21,-0.0050870643628621775,-0.0035793965216726065,-1.0,-1.0
2016-07-22,0.006354814528979257,-0.0007084051612764597,1.0,-1.0
2016-07-25,-0.002113810708456274,-0.006287215277552605,-1.0,-1.0
2016-07-26,0.0008460605423391402,-0.0029811125714331865,1.0,-1.0
2016-07-27,-0.00042287152413871763,-0.004444490186870098,-1.0,-1.0
2016-07-28,0.002112779053363993,-0.002961148275062442,1.0,-1.0
