Date,027_XLP_1d_actual_lnrts,027_XLP_1d_forecast_lnrts,027_XLP_1d_true_label,027_XLP_1d_forecast_label
2016-04-19,-0.0005624209944340295,0.0013718539848923683,-1.0,1.0
2016-04-20,-0.011318832662613024,0.002712428569793701,-1.0,1.0
2016-04-21,-0.0179943609018871,-3.6120880395174026e-05,-1.0,-1.0
2016-04-22,0.0036632629646779756,0.001462860731408,1.0,1.0
2016-04-25,0.006904560774810444,-0.0013980665244162083,1.0,-1.0
2016-04-26,-0.0040217000704593515,0.0016685300506651402,-1.0,1.0
2016-04-27,0.004785872792400553,0.0006862224545329809,1.0,1.0
2016-04-28,0.0009545987490187614,0.0018601177725940943,1.0,1.0
2016-04-29,-0.002101146497080417,0.0007104675751179457,-1.0,1.0
2016-05-02,0.01140712120864642,-0.001256807241588831,1.0,-1.0
2016-05-03,-0.0018923014543719998,-0.0021130884997546673,-1.0,-1.0
2016-05-04,0.0030257146709395783,-0.0014949943870306015,1.0,-1.0
2016-05-05,0.00018889185249848452,0.0002191942185163498,1.0,1.0
2016-05-06,0.005084374464051234,0.0012105274945497513,1.0,1.0
2016-05-09,0.005432151323503757,-0.003417561762034893,1.0,-1.0
2016-05-10,0.009852285019479538,-0.0030664969235658646,1.0,-1.0
2016-05-11,-0.007985997966437487,-0.0009703170508146286,-1.0,-1.0
2016-05-12,0.005392909984711967,-0.0021277484484016895,1.0,-1.0
2016-05-13,-0.012691348361257803,-0.00290089612826705,-1.0,-1.0
2016-05-16,0.006365720527440785,-0.0008457428775727749,1.0,-1.0
2016-05-17,-0.01979137737161092,-0.0025501707568764687,-1.0,-1.0
2016-05-18,-0.01168046748745788,0.0031847399659454823,-1.0,1.0
2016-05-19,0.009774963373917422,0.002362402155995369,1.0,1.0
2016-05-20,-0.005163027897886063,-0.0008871341124176979,-1.0,-1.0
2016-05-23,0.0009580978953253016,-0.0004205661825835705,1.0,-1.0
2016-05-24,0.00839227232553904,0.0003950614482164383,1.0,1.0
2016-05-25,0.0015181933644533893,-0.000326687004417181,1.0,-1.0
2016-05-26,0.003974664539002573,0.0007404028438031673,1.0,1.0
2016-05-27,0.0011327732394101626,-0.001919667236506939,1.0,-1.0
2016-05-31,-0.006435765421110445,0.0009446146432310343,-1.0,1.0
2016-06-01,0.01020225971965462,-0.0020012869499623775,1.0,-1.0
2016-06-02,0.00037590746042997846,0.0006567258387804031,1.0,1.0
2016-06-03,0.006368124931036068,0.0007944975513964891,1.0,1.0
2016-06-06,0.001119667844905726,-0.004074507858604193,1.0,-1.0
2016-06-07,-0.0011196678449057734,-0.0027927812188863754,-1.0,-1.0
2016-06-08,0.00595687638179521,-0.0006673396565020084,1.0,-1.0
2016-06-09,0.003889995004751166,0.0002887672744691372,1.0,1.0
2016-06-10,0.0007392525609678597,-0.0017306264489889145,1.0,-1.0
2016-06-13,-0.008348021146069782,-0.0011003082618117332,-1.0,-1.0
2016-06-14,0.0039043825287589547,0.0015528753865510225,1.0,1.0
2016-06-15,-0.002973420857159153,-0.0010505695827305317,-1.0,-1.0
2016-06-16,0.005197679533181837,-0.0016713854856789112,1.0,-1.0
2016-06-17,-0.004050070617088177,0.003347620368003845,-1.0,1.0
2016-06-20,0.0031742570318055493,0.0023756574373692274,1.0,1.0
2016-06-21,0.0026065822828675485,-0.000590252224355936,1.0,-1.0
2016-06-22,0.0005577651390992049,0.00032812217250466347,1.0,1.0
2016-06-23,0.006113845088337476,0.0015759477391839027,1.0,1.0
2016-06-24,-0.019396394247587385,0.0010739623103290796,-1.0,1.0
2016-06-27,-0.0020735881917805952,0.004254089668393135,-1.0,1.0
2016-06-28,0.006208297278725995,0.0020287390798330307,1.0,1.0
2016-06-29,0.011560735748448698,0.00032530399039387703,1.0,1.0
2016-06-30,0.022184469987735024,0.0008232162799686193,1.0,1.0
2016-07-01,-0.004725501527046441,-0.0015933872200548649,-1.0,-1.0
2016-07-05,0.005631765728381609,0.0014936875086277723,1.0,1.0
2016-07-06,0.0009052191951794284,-0.00191785441711545,1.0,-1.0
2016-07-07,-0.0019928348362564944,-0.004558171611279249,-1.0,-1.0
2016-07-08,0.009925215669286313,-0.004076911602169275,1.0,-1.0
2016-07-11,0.00017954199954815949,-0.006101729813963175,1.0,-1.0
2016-07-12,-0.005400611849269675,-0.001062579918652773,-1.0,-1.0
2016-07-13,0.005580140167756189,-0.0022390615195035934,1.0,-1.0
2016-07-14,-0.00017952831848651635,-0.00637315446510911,-1.0,-1.0
2016-07-15,0.0,-0.003863892052322626,0.0,-1.0
2016-07-18,-0.0010778287048723398,-0.0041048103012144566,-1.0,-1.0
2016-07-19,-0.0007192665541649764,0.0007511773146688938,-1.0,1.0
2016-07-20,-0.0036035165902323567,-0.0019630463793873787,-1.0,-1.0
2016-07-21,-0.002892128406303077,-0.001809330191463232,-1.0,-1.0
2016-07-22,0.0046955750323509505,-0.00025886110961437225,1.0,-1.0
2016-07-25,-0.0010816403607510222,-0.0022681085392832756,-1.0,-1.0
2016-07-26,-0.007786330689544738,0.00014982977882027626,-1.0,1.0
2016-07-27,-0.015018722755491475,-0.0002497737295925617,-1.0,-1.0
2016-07-28,0.00441916905760935,-0.0017703515477478504,1.0,-1.0
2016-07-29,0.0049482055269595695,-0.0031484407372772694,1.0,-1.0
2016-08-01,0.0010962651741955765,0.0002548503689467907,1.0,1.0
2016-08-02,-0.0014619100327052637,-0.0027693132869899273,-1.0,-1.0
2016-08-03,-0.0055015753828935665,-0.002955818548798561,-1.0,-1.0
2016-08-04,0.0022043052737116433,-0.0024741655215620995,1.0,-1.0
2016-08-05,0.0016498899430620034,-0.0033953143283724785,1.0,-1.0
2016-08-08,-0.001099624113636614,-0.0017664562910795212,-1.0,-1.0
2016-08-09,0.003112649138266252,-0.0030794013291597366,1.0,-1.0
2016-08-10,0.003649678727613144,-0.00011577364057302475,1.0,-1.0
2016-08-11,0.0,-0.0004631201736629009,0.0,-1.0
2016-08-12,0.003454815953060285,-0.0028174598701298237,1.0,-1.0
2016-08-15,-0.0025444455464542406,0.0006940341554582119,-1.0,1.0
2016-08-16,-0.004377257941291503,0.002103860257193446,-1.0,1.0
2016-08-17,0.002737978952022642,0.00035850657150149345,1.0,1.0
2016-08-18,0.0034574058497407753,0.00211356021463871,1.0,1.0
2016-08-19,-0.002364260934665429,0.0004369928501546383,-1.0,1.0
