Date,050_IYJ_1d_actual_lnrts,050_IYJ_1d_forecast_lnrts,050_IYJ_1d_true_label,050_IYJ_1d_forecast_label
2016-02-17,0.016080700945701392,0.0008599994471296668,1.0,1.0
2016-02-18,-0.0019323242832982063,-0.001947824377566576,-1.0,-1.0
2016-02-19,-0.001936065390633255,0.0005079146940261126,-1.0,1.0
2016-02-22,0.015083407044045403,-0.0033833105117082596,1.0,-1.0
2016-02-23,-0.010300984610747731,0.0012660700595006347,-1.0,1.0
2016-02-24,0.003243151641488022,-0.0002379033248871565,1.0,-1.0
2016-02-25,0.011568965553232051,-0.003481288906186819,1.0,-1.0
2016-02-26,0.003594180923149031,-0.0021739648655056953,1.0,-1.0
2016-02-29,-0.0063987008905607495,0.004237678833305836,-1.0,1.0
2016-03-01,0.02163003461881166,-0.0021693999879062176,1.0,-1.0
2016-03-02,0.002059002481787797,-0.005155352409929037,1.0,-1.0
2016-03-03,0.0072223578299334765,0.0013808624353259802,1.0,1.0
2016-03-04,0.005044153541487569,-0.0017285640351474285,1.0,-1.0
2016-03-07,0.001740213092304206,-0.003447139635682106,1.0,-1.0
2016-03-08,-0.012831958287231528,-0.004051448777318001,-1.0,-1.0
2016-03-09,0.0025406750644563518,0.003222568891942501,1.0,1.0
2016-03-10,-0.001464968959240286,-0.0019196984358131886,-1.0,-1.0
2016-03-11,0.015708652572183963,-0.0026958491653203964,1.0,-1.0
2016-03-14,-0.0008663399336203093,-0.001439734362065792,-1.0,-1.0
2016-03-15,-0.0021206664568442354,-0.00028783525340259075,-1.0,-1.0
2016-03-16,0.007785959266458033,-0.004913389682769775,1.0,-1.0
2016-03-17,0.019532124124617224,-0.0054536247625947,1.0,-1.0
2016-03-18,0.00580475682119396,-0.004319351632148027,1.0,-1.0
2016-03-21,0.0020516548556597197,-0.00207757530733943,1.0,-1.0
2016-03-22,-0.0011185237508858782,-0.00412550987675786,-1.0,-1.0
2016-03-23,-0.00723516768794809,-0.0029216893017292023,-1.0,-1.0
2016-03-24,-0.00018869631776665505,-0.006233961321413517,-1.0,-1.0
2016-03-28,0.0010370355778943096,-0.0013205697759985924,1.0,-1.0
2016-03-29,0.00797729361116249,1.8013175576925278e-05,1.0,1.0
2016-03-30,0.0025205557666203313,0.0005250321701169014,1.0,1.0
2016-03-31,-0.0017731794825417118,-0.0030897650867700577,-1.0,-1.0
2016-04-01,0.0054957908044250435,-0.0008911367040127516,1.0,-1.0
2016-04-04,-0.010270911550150332,-0.0025080228224396706,-1.0,-1.0
2016-04-05,-0.0066857558002412455,-0.004891466349363327,-1.0,-1.0
2016-04-06,0.005371092679556852,-0.003757395315915346,1.0,-1.0
2016-04-07,-0.008967973143393457,-0.0016296198591589928,-1.0,-1.0
2016-04-08,0.005673341589737714,-0.0002298927865922451,1.0,-1.0
2016-04-11,-0.002076461125901158,-0.005140396766364574,-1.0,-1.0
2016-04-12,0.008092595653929502,-0.0008148124907165766,1.0,-1.0
2016-04-13,0.014422306950624885,-0.001888633705675602,1.0,-1.0
2016-04-14,-0.0020345504133412,-0.0002749837003648281,-1.0,-1.0
2016-04-15,0.001849781846087748,-0.00647963210940361,1.0,-1.0
2016-04-18,0.004517086978256125,-0.003786040935665369,1.0,-1.0
2016-04-19,0.003947362060395267,-0.004629082046449184,1.0,-1.0
2016-04-20,-0.00027485206973713405,-0.002920915372669697,-1.0,-1.0
2016-04-21,-0.003212677651640699,-0.00270747859030962,-1.0,-1.0
2016-04-22,0.004677813198685911,-0.004934410564601421,1.0,-1.0
2016-04-25,-0.006886688744879368,-0.002155653666704893,-1.0,-1.0
2016-04-26,0.009719404694806692,-0.00384279852733016,1.0,-1.0
2016-04-27,0.007454679217072294,-0.004478600807487965,1.0,-1.0
2016-04-28,-0.010287395166999584,-0.004990463610738516,-1.0,-1.0
2016-04-29,-0.0056896096502679645,-0.003417328465729952,-1.0,-1.0
2016-05-02,0.005048887422040877,-0.003578204195946455,1.0,-1.0
2016-05-03,-0.008367488349280451,-0.004623951856046915,-1.0,-1.0
2016-05-04,-0.009369711755315265,-0.0048996577970683575,-1.0,-1.0
2016-05-05,-0.0010258175367547926,-0.005472315475344658,-1.0,-1.0
2016-05-06,0.007251152918086874,0.0001832956913858652,1.0,1.0
2016-05-09,-0.0037119775324922343,-0.004999764729291201,-1.0,-1.0
2016-05-10,0.01751036591945679,-0.0038151354528963566,1.0,-1.0
2016-05-11,-0.00751955715068891,-0.004146530292928219,-1.0,-1.0
2016-05-12,-0.001289420929566881,-0.0032724542543292046,-1.0,-1.0
2016-05-13,-0.012240563224795557,-0.00280432915315032,-1.0,-1.0
2016-05-16,0.010303229412497941,-0.00670891348272562,1.0,-1.0
2016-05-17,-0.006392230898579705,-0.006613408215343952,-1.0,-1.0
2016-05-18,-0.002326170721194906,-0.003120905254036188,-1.0,-1.0
2016-05-19,-0.008325192573375563,0.0005362264346331358,-1.0,1.0
2016-05-20,0.0067403647806521475,-0.003045090474188328,1.0,-1.0
2016-05-23,-0.0014939395819438402,-0.0056020766496658325,-1.0,-1.0
2016-05-24,0.01364222339995258,0.00024864613078534603,1.0,1.0
2016-05-25,0.0065231194304687535,-0.004217905458062887,1.0,-1.0
2016-05-26,-0.0018331867261713695,-0.00786066148430109,-1.0,-1.0
2016-05-27,0.003388795125614025,-0.007203161716461182,1.0,-1.0
2016-05-31,0.0004570258931048823,-0.003287332598119974,1.0,-1.0
2016-06-01,0.0010961014920693242,-0.004101056605577469,1.0,-1.0
2016-06-02,0.0031901304713089825,-0.006156995892524719,1.0,-1.0
2016-06-03,-9.103821844184941e-05,-0.0032781646586954594,-1.0,-1.0
2016-06-06,0.007615521758532783,-0.0018127127550542355,1.0,-1.0
2016-06-07,0.002886094411893881,-0.004302275367081165,1.0,-1.0
2016-06-08,0.0052098345417093996,-0.0033519361168146133,1.0,-1.0
2016-06-09,-0.0018831941548926943,-0.0042570652440190315,-1.0,-1.0
2016-06-10,-0.01191900352362285,-0.004334743600338697,-1.0,-1.0
2016-06-13,-0.007293271411498295,-0.0055432869121432304,-1.0,-1.0
2016-06-14,0.002010978613063668,-0.005051700863987207,1.0,-1.0
2016-06-15,-9.121511768350277e-05,-0.0026510749012231827,-1.0,-1.0
2016-06-16,0.0033732730354377708,-0.00042183510959148407,1.0,-1.0
2016-06-17,-0.0004552922003003485,-0.0018243002705276012,-1.0,-1.0
2016-06-20,0.010507534785713708,-0.0018153972923755646,1.0,-1.0
2016-06-21,-0.0017101795171915297,-0.005417734384536743,-1.0,-1.0
2016-06-22,-0.002992767599768951,-0.00019783596508204937,-1.0,-1.0
2016-06-23,0.012366451060671847,-0.0029966984875500202,1.0,-1.0
2016-06-24,-0.042329478766315216,-0.004643598571419716,-1.0,-1.0
2016-06-27,-0.024634162006942316,-0.0032208841294050217,-1.0,-1.0
2016-06-28,0.016458629037300294,-0.006378453224897385,1.0,-1.0
2016-06-30,0.036502332200581106,-0.00487014465034008,1.0,-1.0
2016-07-01,0.002725592583484373,-0.001839982345700264,1.0,-1.0
2016-07-05,-0.009572179407100477,-0.0017464314587414265,-1.0,-1.0
2016-07-06,0.005572182828598342,-0.0036219097673892975,1.0,-1.0
2016-07-07,0.0019110342581951357,-0.0044594923965632915,1.0,-1.0
2016-07-08,0.019180270842610942,-0.005252175964415073,1.0,-1.0
2016-07-11,0.005159680497523476,-0.007646273821592331,1.0,-1.0
2016-07-12,0.007513968500788455,-0.00882001407444477,1.0,-1.0
2016-07-13,0.0019354869672071396,-0.002578314859420061,1.0,-1.0
2016-07-14,0.0051725799742563154,-0.004653949290513992,1.0,-1.0
2016-07-15,0.0003496592715018068,-0.010359760373830795,1.0,-1.0
2016-07-18,-0.0008744394780322836,-0.007633076049387455,-1.0,-1.0
2016-07-19,0.00034984278182036133,-0.0017076954245567322,1.0,-1.0
2016-07-20,0.004798681426962852,-0.004858273081481457,1.0,-1.0
2016-07-21,-0.007688959379032527,-0.009996282868087292,-1.0,-1.0
2016-07-22,-0.0002632277587043687,-0.0038764588534832,-1.0,-1.0
2016-07-25,-0.004660808040700392,0.0018074654508382082,-1.0,1.0
2016-07-26,0.008426403424817134,-0.006275659427046776,1.0,-1.0
2016-07-27,-0.00394105396270897,-0.0075140101835131645,-1.0,-1.0
2016-07-28,-0.0014049646896555443,-0.006155010312795639,-1.0,-1.0
2016-07-29,-0.002111257534147779,-0.002805424854159355,-1.0,-1.0
2016-08-01,-0.0022920621131278184,-0.006456444039940834,-1.0,-1.0
2016-08-02,-0.007975312589928634,-0.006308289244771004,-1.0,-1.0
2016-08-03,0.0037297089652501393,-0.005035772919654846,1.0,-1.0
2016-08-04,0.0018595792991995181,-0.006550213322043419,1.0,-1.0
2016-08-05,0.009772585702219692,-0.005326654762029648,1.0,-1.0
2016-08-08,-0.0003505179514076289,-0.004965147003531456,-1.0,-1.0
2016-08-09,0.0001753053583361365,-0.006260823458433151,1.0,-1.0
2016-08-10,0.00061320725936716,-0.007460032589733601,1.0,-1.0
2016-08-11,0.00558901528440767,-0.0044301776215434074,1.0,-1.0
2016-08-12,-0.003052650324264167,-0.004928618669509888,-1.0,-1.0
2016-08-15,0.005748587592349254,-0.0034159687347710133,1.0,-1.0
2016-08-16,-0.005661288289018124,-0.005445420742034912,-1.0,-1.0
