Date,007_EWH_1d_actual_lnrts,007_EWH_1d_forecast_lnrts,007_EWH_1d_true_label,007_EWH_1d_forecast_label
2016-04-14,0.0009920656889720661,-0.004491737112402916,1.0,-1.0
2016-04-15,-0.005967367860401894,-0.008271582424640656,-1.0,-1.0
2016-04-18,0.004975302171429701,-0.0009581828489899635,1.0,-1.0
2016-04-19,0.007416406809164898,-0.004227061290293932,1.0,-1.0
2016-04-20,-0.0034541392480064276,-0.005250127986073494,-1.0,-1.0
2016-04-21,-0.00297020187218628,-0.0037212083116173744,-1.0,-1.0
2016-04-22,-0.0004959098201996673,-0.005735074169933796,-1.0,-1.0
2016-04-25,0.0024769378399305195,-0.006785759702324867,1.0,-1.0
2016-04-26,0.00296453926399919,-0.0038253548555076122,1.0,-1.0
2016-04-27,-0.0014810674591065084,-0.004090584348887205,-1.0,-1.0
2016-04-28,-0.005946459741141188,-0.004901844076812267,-1.0,-1.0
2016-04-29,-0.017043107879814747,-0.004118070937693119,-1.0,-1.0
2016-05-02,0.001010613701312856,-0.004490485414862633,1.0,-1.0
2016-05-03,-0.019378409336340496,-0.008013955317437649,-1.0,-1.0
2016-05-04,-0.007753996828228603,-0.0077667441219091415,-1.0,-1.0
2016-05-05,0.008268798438155117,-0.002564988099038601,1.0,-1.0
2016-05-06,-0.0077500993520919085,-0.0014965180307626724,-1.0,-1.0
2016-05-09,-0.005200122014904588,-0.00532379187643528,-1.0,-1.0
2016-05-10,0.016033370377531244,-0.00011689355596899986,1.0,-1.0
2016-05-11,-0.0165548291900282,-0.006070053204894066,-1.0,-1.0
2016-05-12,-0.007329946140476266,-0.005212633870542049,-1.0,-1.0
2016-05-13,-0.01215989353575417,0.0002520263660699129,-1.0,1.0
2016-05-16,0.012159893535754225,-0.0021014735102653503,1.0,-1.0
2016-05-17,-0.005268782829533703,-0.0019321786239743233,-1.0,-1.0
2016-05-18,-0.00423506073044473,-0.0012297779321670532,-1.0,-1.0
2016-05-19,-0.005852594191765012,8.571869693696499e-05,-1.0,1.0
2016-05-20,0.013778677030290887,-0.002996929455548525,1.0,-1.0
2016-05-23,-0.004748051552795279,-0.0015727444551885128,-1.0,-1.0
2016-05-24,0.012611914813065905,0.0041093360632658005,1.0,1.0
2016-05-25,0.012970269157494775,-0.0009556682780385017,1.0,-1.0
2016-05-26,0.0005152782043483221,-0.00247983168810606,1.0,-1.0
2016-05-27,0.002058731348559432,-0.0026061981916427612,1.0,-1.0
2016-05-31,0.01530645403813447,-4.620244726538658e-05,1.0,-1.0
2016-06-01,-0.0030426051673375417,-0.008916309103369713,-1.0,-1.0
2016-06-02,0.007589225310406254,4.119798541069031e-05,1.0,1.0
2016-06-03,0.005529105694246411,-0.0020839786157011986,1.0,-1.0
2016-06-06,0.010471217196533725,-0.003966254647821188,1.0,-1.0
2016-06-07,0.004454256266516741,-0.0018230387941002846,1.0,-1.0
2016-06-08,-0.002472038931402853,-0.004660353995859623,-1.0,-1.0
2016-06-09,-0.004962851838826966,-0.0037698978558182716,-1.0,-1.0
2016-06-10,-0.00498755220520603,-0.003637154120951891,-1.0,-1.0
2016-06-13,-0.01918280760588947,-0.0040605743415653706,-1.0,-1.0
2016-06-14,-0.006648008675890574,-0.0001625455915927887,-1.0,-1.0
2016-06-15,-0.0010266425465297268,-0.0012458660639822483,-1.0,-1.0
2016-06-16,-0.006699289622360756,-0.00011736340820789337,-1.0,-1.0
2016-06-17,-0.002070561483643922,-0.0005877362564206123,-1.0,-1.0
2016-06-20,0.015424719241229014,-0.0010193032212555408,1.0,-1.0
2016-06-21,0.0010197830871961923,-0.002668104600161314,1.0,-1.0
2016-06-22,0.0015068628594160308,-0.0007474650628864765,1.0,-1.0
2016-06-23,0.022080521052012424,-0.0034889853559434414,1.0,-1.0
2016-06-24,-0.0451908355690994,-0.005675799213349819,-1.0,-1.0
2016-06-27,-0.008537924573376742,-0.0028431867249310017,-1.0,-1.0
2016-06-28,0.014365766397829357,-0.004314441699534655,1.0,-1.0
2016-06-29,0.017801501201799633,-0.010447027161717415,1.0,-1.0
2016-06-30,0.015959122043281246,-0.0074265263974666595,1.0,-1.0
2016-07-01,0.007631716240775774,-0.007849002256989479,1.0,-1.0
2016-07-05,-0.016867285542217655,-0.006370381452143192,-1.0,-1.0
2016-07-06,0.0010304612833265396,-0.0042723859660327435,1.0,-1.0
2016-07-07,-0.002577961209622726,-0.006827886216342449,-1.0,-1.0
2016-07-08,0.01231414192815606,-0.008325169794261456,1.0,-1.0
2016-07-11,0.004579046535701354,-0.010637633502483368,1.0,-1.0
2016-07-12,0.017111521292590737,-0.007648997008800507,1.0,-1.0
2016-07-13,-0.001997973737669747,-0.008137136697769165,-1.0,-1.0
2016-07-14,0.010445170850222044,-0.008198337629437447,1.0,-1.0
2016-07-15,0.0014833297373385366,-0.00941490475088358,1.0,-1.0
