Date,015_EWD_1d_actual_lnrts,015_EWD_1d_forecast_lnrts,015_EWD_1d_true_label,015_EWD_1d_forecast_label
2016-03-29,0.016311273597068115,0.001185617409646511,1.0,1.0
2016-03-30,0.019431361434749442,8.039455860853195e-05,1.0,1.0
2016-03-31,-0.005755790234244976,-0.005040721036493778,-1.0,-1.0
2016-04-01,0.0013572043800033433,-7.298309355974197e-05,1.0,-1.0
2016-04-04,-0.0016968566803420365,-0.0002911435440182686,-1.0,-1.0
2016-04-05,-0.02302115072770279,-0.0045877257362008095,-1.0,-1.0
2016-04-06,0.020300024697671306,-0.004727639257907867,1.0,-1.0
2016-04-07,-0.020300024697671462,-0.0005829837173223495,-1.0,-1.0
2016-04-08,0.026412169593731157,-0.0002748211845755577,1.0,-1.0
2016-04-11,0.004391084903674412,-0.005301196128129959,1.0,-1.0
2016-04-12,0.009726723652601216,-0.0035604648292064667,1.0,-1.0
2016-04-13,0.012274162185681158,-0.006369943730533123,1.0,-1.0
2016-04-14,-0.0023106483119829727,-0.0012186197564005852,-1.0,-1.0
2016-04-15,-0.0016537129034797974,-0.012003363110125065,-1.0,-1.0
2016-04-18,0.003634565247914687,-0.00684767123311758,1.0,-1.0
2016-04-19,0.02540032590143636,-0.006392140872776508,1.0,-1.0
2016-04-20,-0.0003216292774577012,-0.007340491749346256,-1.0,-1.0
2016-04-21,-0.012949285264404637,-0.006111684255301952,-1.0,-1.0
2016-04-22,-0.005227130804986117,-0.010417238809168339,-1.0,-1.0
2016-04-25,-0.0055837837930723085,-0.008432322181761265,-1.0,-1.0
2016-04-26,0.00394467309869443,-0.0054819462820887566,1.0,-1.0
2016-04-27,0.004909189855423834,-0.012339162640273571,1.0,-1.0
2016-04-28,-0.005565573183951282,-0.007675870321691036,-1.0,-1.0
2016-04-29,-0.007579503241350072,-0.002115560695528984,-1.0,-1.0
2016-05-02,0.005936727442146522,-0.007146376185119152,1.0,-1.0
2016-05-03,-0.026997137489184406,-0.0021923836320638657,-1.0,-1.0
2016-05-04,-0.012921026374898583,-0.005263525061309338,-1.0,-1.0
2016-05-05,-0.003428073341194464,-0.0073028793558478355,-1.0,-1.0
2016-05-06,-0.0034400852745634807,-0.00543129350990057,-1.0,-1.0
2016-05-09,0.005841046461892379,-0.0031186724081635475,1.0,-1.0
2016-05-10,0.0071683799531862815,-0.004900917410850525,1.0,-1.0
2016-05-11,-0.007853853733148076,0.0037092147395014763,-1.0,1.0
2016-05-12,-0.009645305494977096,0.003955413121730089,-1.0,1.0
2016-05-13,-0.011138335035433053,-0.006878015585243702,-1.0,-1.0
2016-05-16,0.0183810310035721,-0.008836801163852215,1.0,-1.0
2016-05-17,-0.009321661842828828,-0.00811703409999609,-1.0,-1.0
2016-05-18,-0.0027787442017253123,0.0007036998867988586,-1.0,1.0
2016-05-19,-0.008032171100826045,-0.002567174844443798,-1.0,-1.0
2016-05-20,0.014619124575245094,2.3041851818561554e-05,1.0,1.0
2016-05-23,-0.004502171775367713,-0.0011601997539401054,-1.0,-1.0
2016-05-24,0.01754732663824159,0.0010462086647748947,1.0,1.0
2016-05-25,0.008152146541008615,-0.0013490663841366768,1.0,-1.0
2016-05-26,0.00775077770975436,-0.006308731622993946,1.0,-1.0
2016-05-27,-0.002689148530952073,-0.004419626668095589,-1.0,-1.0
2016-05-31,-0.005399945428653328,-0.008232061751186848,-1.0,-1.0
2016-06-01,-0.0020325209517217183,-0.010554893873631954,-1.0,-1.0
2016-06-02,0.0023708372015728905,-0.00837154220789671,1.0,-1.0
2016-06-03,0.008757248908877163,-0.008692988194525242,1.0,-1.0
2016-06-06,0.005684683222228424,-0.005366753786802292,1.0,-1.0
2016-06-07,0.006646750722982476,-0.002370254136621952,1.0,-1.0
2016-06-08,0.0036370388437218875,-0.003564184531569481,1.0,-1.0
2016-06-09,-0.02134837353419613,-0.0034478968009352684,-1.0,-1.0
2016-06-10,-0.04024625841715499,-0.007091437466442585,-1.0,-1.0
2016-06-13,-0.012005755706043834,-0.004856226034462452,-1.0,-1.0
2016-06-14,-0.011792167194411843,0.0011982480064034462,-1.0,1.0
2016-06-15,0.010014389082816178,0.003450253512710333,1.0,1.0
2016-06-16,-0.005710184026341154,0.001300145871937275,-1.0,1.0
2016-06-17,0.012095448233385072,0.009012889117002487,1.0,1.0
2016-06-20,0.028583331030389455,0.0023211254738271236,1.0,1.0
2016-06-21,0.009575995871917218,-0.009635497815907001,1.0,-1.0
2016-06-22,0.0003184242077348802,-0.0024504754692316055,1.0,-1.0
2016-06-23,0.02893696853485967,-0.006464031524956226,1.0,-1.0
2016-06-24,-0.11610917472058449,-0.010865728370845318,-1.0,-1.0
2016-06-27,-0.015558409443390772,0.0026011522859334946,-1.0,1.0
2016-06-28,0.030878497425099797,-0.0030355071648955345,1.0,-1.0
2016-06-29,0.017332842164881408,-0.001738627441227436,1.0,-1.0
2016-06-30,0.02143462817552474,1.4611519873142242e-05,1.0,1.0
2016-07-01,0.004377926592572058,-0.006245891563594341,1.0,-1.0
2016-07-05,-0.03821646260936363,-0.0014727795496582985,-1.0,-1.0
2016-07-06,-0.004548939739541952,-0.00048200786113739014,-1.0,-1.0
2016-07-07,-0.0007601725032854004,-0.006084642373025417,-1.0,-1.0
2016-07-08,0.01771302008409411,-0.0036688903346657753,1.0,-1.0
2016-07-11,0.015199521787538557,-0.00866661500185728,1.0,-1.0
2016-07-12,0.009155902371678074,-0.004281898029148579,1.0,-1.0
2016-07-13,0.006540654232451491,-0.004876049235463142,1.0,-1.0
2016-07-14,0.00685802332019181,-0.0028373971581459045,1.0,-1.0
2016-07-15,-0.0007196514836499918,-2.502836287021637e-05,-1.0,-1.0
2016-07-18,-0.005052335922821029,0.005135950166732073,-1.0,1.0
2016-07-19,-0.0018106415409623094,-0.00875429343432188,-1.0,-1.0
2016-07-20,0.010456140415131338,-0.01052295695990324,1.0,-1.0
2016-07-21,-0.0053946713692052785,0.0005973679944872856,-1.0,1.0
2016-07-22,-0.003612708439355397,0.0022265720181167126,-1.0,1.0
2016-07-25,0.002891165843163689,-0.007475920952856541,1.0,-1.0
2016-07-26,0.00036083637605901223,-0.0009918268769979477,1.0,-1.0
2016-07-27,0.003960409965294764,-0.003328166902065277,1.0,-1.0
2016-07-28,-0.0014382680486779466,-0.007080131210386753,-1.0,-1.0
2016-07-29,0.00859910658694436,-0.002235203981399536,1.0,-1.0
2016-08-01,-0.010039593640729998,-0.0030088061466813087,-1.0,-1.0
2016-08-02,-0.003610100095406511,-0.003781728446483612,-1.0,-1.0
2016-08-03,-0.003986169237531772,-0.005190630443394184,-1.0,-1.0
2016-08-04,0.008316845887225468,-0.007059949450194836,1.0,-1.0
2016-08-05,0.003594454340253377,-0.005152457393705845,1.0,-1.0
2016-08-08,0.0010758363647517864,-0.005976657383143902,1.0,-1.0
2016-08-09,0.02232953814404395,-0.009850907139480114,1.0,-1.0
2016-08-10,0.006289264633716316,0.0016003111377358437,1.0,1.0
2016-08-11,0.008324766730857545,-0.00026596151292324066,1.0,-1.0
2016-08-12,-0.0024209595924553876,-0.0015037963166832924,-1.0,-1.0
2016-08-15,0.004835931332647382,-0.0034445803612470627,1.0,-1.0
2016-08-16,-0.006221871549018302,-0.013191820122301579,-1.0,-1.0
2016-08-17,-0.003473491038159914,-0.01483373623341322,-1.0,-1.0
2016-08-18,0.011072782731992501,-0.00674076285213232,1.0,-1.0
2016-08-19,-0.00933445802853928,-0.007669136859476566,-1.0,-1.0
2016-08-22,-0.0006950384027327233,-0.0014601759612560272,-1.0,-1.0
2016-08-23,0.005545979464840172,-0.0036164233461022377,1.0,-1.0
2016-08-24,0.0027614980080410047,-0.00884250272065401,1.0,-1.0
2016-08-25,-0.006224093599417944,-0.0021636178717017174,-1.0,-1.0
2016-08-26,-0.006961440241066233,-0.0026185177266597748,-1.0,-1.0
2016-08-29,0.009386451783148113,-0.0016635693609714508,1.0,-1.0
2016-08-30,-0.007641525345408324,1.0553747415542603e-05,-1.0,1.0
2016-08-31,-0.004192907025796889,-0.0018715141341090202,-1.0,-1.0
