Date,044_IYZ_1d_actual_lnrts,044_IYZ_1d_forecast_lnrts,044_IYZ_1d_true_label,044_IYZ_1d_forecast_label
2016-03-04,-0.0029767075430165006,-0.005017410032451153,-1.0,-1.0
2016-03-07,0.0075896385717799004,-0.0026357329916208982,1.0,-1.0
2016-03-08,-0.007258447779798083,-0.006382638588547707,-1.0,-1.0
2016-03-09,-0.00931471218755506,-0.002369136782363057,-1.0,-1.0
2016-03-10,-0.003347807550771642,-0.003861710662022233,-1.0,-1.0
2016-03-11,0.0100100542580865,-0.004072603769600391,1.0,-1.0
2016-03-14,0.00033182319107952213,0.0020154519006609917,1.0,1.0
2016-03-15,-0.015721840381209544,0.0018856395035982132,-1.0,1.0
2016-03-16,0.009061880405601025,-0.0038256666157394648,1.0,-1.0
2016-03-17,0.00533166272650625,-0.0022293494548648596,1.0,-1.0
2016-03-18,0.005633750016049118,-0.005794062279164791,1.0,-1.0
2016-03-21,-0.005301596061904705,-0.005216361954808235,-1.0,-1.0
2016-03-22,-0.0009972396544204861,-0.0007857223972678185,-1.0,-1.0
2016-03-23,-0.012426588634350704,-0.007428891025483608,-1.0,-1.0
2016-03-24,0.0064178208382588515,-0.004800788126885891,1.0,-1.0
2016-03-28,0.004032298995219267,-0.0030818998347967863,1.0,-1.0
2016-03-29,0.025166818398610638,-0.005723193287849426,1.0,-1.0
2016-03-30,0.004242115708253391,-0.00423780083656311,1.0,-1.0
2016-03-31,0.0006510697318000387,-0.003997870720922947,1.0,-1.0
2016-04-01,0.013574823525509429,-0.00857644621282816,1.0,-1.0
2016-04-04,0.005442728750428958,-0.0032605610322207212,1.0,-1.0
2016-04-05,-0.011237965357137983,-0.014722163788974285,-1.0,-1.0
2016-04-06,0.0032238681054707766,-0.013678145594894886,1.0,-1.0
2016-04-07,-0.013610180696801004,-0.00360304513014853,-1.0,-1.0
2016-04-08,0.002281210377494772,-0.0023789384867995977,1.0,-1.0
2016-04-11,-0.005221867352689456,-0.007171188481152058,-1.0,-1.0
2016-04-12,0.005872725229299071,-0.0024977868888527155,1.0,-1.0
2016-04-13,0.00324781712485289,-0.007548796012997627,1.0,-1.0
2016-04-14,0.0029141301425465766,-0.0005524992011487484,1.0,-1.0
2016-04-15,0.0058027089143876725,-0.005623079836368561,1.0,-1.0
2016-04-18,0.005769231649074733,-0.006350459530949593,1.0,-1.0
2016-04-19,0.00922542353407056,-0.001702588051557541,1.0,-1.0
2016-04-20,0.0,-0.0032398661132901907,0.0,-1.0
2016-04-21,-0.016281198922235646,-0.004310941323637962,-1.0,-1.0
2016-04-22,0.014696725631973766,-0.008882868103682995,1.0,-1.0
2016-04-25,-0.005087474207706105,-0.00573270209133625,-1.0,-1.0
2016-04-26,0.0012743134239002576,-0.004163323901593685,1.0,-1.0
2016-04-27,0.008243510861445955,-0.007943518459796906,1.0,-1.0
2016-04-28,-0.0085620432603631,-0.00739645678550005,-1.0,-1.0
2016-04-29,-0.006069237141546389,-0.002145414939150214,-1.0,-1.0
2016-05-02,0.017154091909834253,-0.0069960905238986015,1.0,-1.0
2016-05-03,-0.012040635793271123,-0.011225789785385132,-1.0,-1.0
2016-05-04,0.0,-0.010532093234360218,0.0,-1.0
2016-05-05,-0.02158930288781189,-0.007190990261733532,-1.0,-1.0
2016-05-06,-0.004570786208451535,-0.0043027447536587715,-1.0,-1.0
2016-05-09,-0.00032725916410701833,-0.006573596969246864,-1.0,-1.0
2016-05-10,0.013008338700593737,-0.010061192326247692,1.0,-1.0
2016-05-11,-0.0032362550148723004,-0.00791570357978344,-1.0,-1.0
2016-05-12,-0.006830432107530006,-0.006000193767249584,-1.0,-1.0
2016-05-13,-0.0035964577538753046,-0.005192304030060768,-1.0,-1.0
2016-05-16,0.009778320222594342,-0.006126226857304573,1.0,-1.0
2016-05-17,-0.016350953021896295,-0.00788938719779253,-1.0,-1.0
2016-05-18,0.012125484347544513,-0.004864271730184555,1.0,-1.0
2016-05-19,-0.008176776946455244,-0.003991195932030678,-1.0,-1.0
2016-05-20,0.01077919559997507,-0.0036718144547194242,1.0,-1.0
2016-05-23,-0.004232547886776621,-0.00862993486225605,-1.0,-1.0
2016-05-24,0.009740422561292079,-0.0028662809636443853,1.0,-1.0
2016-05-25,0.004191474963821125,-0.003229851135984063,1.0,-1.0
2016-05-26,0.005134822731583087,-0.00628343690186739,1.0,-1.0
2016-05-27,0.005108492889355734,-0.009141829796135426,1.0,-1.0
2016-05-31,0.006349305477240741,-0.00422162190079689,1.0,-1.0
2016-06-01,-0.011457798366596397,-0.006537077948451042,-1.0,-1.0
2016-06-02,0.011141311467920386,-0.007786392234265804,1.0,-1.0
2016-06-03,-0.01949883108565534,-0.009691989049315453,-1.0,-1.0
2016-06-06,0.004187523796930228,-0.0073855044320225716,1.0,-1.0
2016-06-07,0.01467790277724814,-0.006323367357254028,1.0,-1.0
2016-06-08,0.003478316763078319,-0.0052179861813783646,1.0,-1.0
2016-06-09,-0.005698006301832247,-0.010527236387133598,-1.0,-1.0
2016-06-10,-0.009569404013980263,-0.009139318950474262,-1.0,-1.0
2016-06-13,-0.0038536361352922875,-0.004634274169802666,-1.0,-1.0
2016-06-14,0.009606207975127618,-0.007774079218506813,1.0,-1.0
2016-06-15,0.0028638911733489267,-0.005372942425310612,1.0,-1.0
2016-06-16,0.01200283090414679,-0.004841895774006844,1.0,-1.0
2016-06-17,-0.0006281999695616301,-0.0014001124072819948,-1.0,-1.0
2016-06-20,0.01341876844197293,-0.001217060023918748,1.0,-1.0
2016-06-21,0.007104108058415572,-0.00766413751989603,1.0,-1.0
2016-06-22,-0.003716393515354682,-0.005613002926111221,-1.0,-1.0
2016-06-23,0.022093688844497472,-0.00710854958742857,1.0,-1.0
2016-06-24,-0.03364000826373981,-0.006954713724553585,-1.0,-1.0
2016-06-27,-0.019972250047238717,-0.0075682466849684715,-1.0,-1.0
2016-06-28,0.020286050359043326,-0.01307715941220522,1.0,-1.0
2016-06-30,0.043892226989989465,-0.004438417963683605,1.0,-1.0
2016-07-01,0.0006004671636228089,-0.006831594742834568,1.0,-1.0
2016-07-05,-0.006624590205487664,-0.012313803657889366,-1.0,-1.0
2016-07-06,0.004822198140670278,-0.007413212209939957,1.0,-1.0
2016-07-07,-0.003011101479239907,-0.007545575499534607,-1.0,-1.0
2016-07-08,0.020299110907657132,-0.009489603340625763,1.0,-1.0
2016-07-11,0.010289765965391206,-0.012748641893267632,1.0,-1.0
2016-07-12,0.006704559052578947,-0.018174592405557632,1.0,-1.0
2016-07-13,0.0052159427746287235,-0.00740045215934515,1.0,-1.0
2016-07-14,0.0002888947545142974,-0.010156710632145405,1.0,-1.0
2016-07-15,0.0011551876083895636,-0.013053309172391891,1.0,-1.0
2016-07-18,-0.0075319555300853176,-0.011360850185155869,-1.0,-1.0
2016-07-19,-0.009348725403451906,-0.005936935544013977,-1.0,-1.0
2016-07-20,-0.0026450366235671254,-0.0062142712995409966,-1.0,-1.0
2016-07-21,-0.01512246200918588,-0.009796221740543842,-1.0,-1.0
2016-07-22,0.025952297671956927,-0.008067970164120197,1.0,-1.0
2016-07-25,0.0052265447735067045,-0.006185110658407211,1.0,-1.0
2016-07-26,-0.002029246097505579,-0.01207655668258667,-1.0,-1.0
2016-07-27,-0.0026151810224499528,-0.009093767032027245,-1.0,-1.0
2016-07-28,-0.008766916692755032,-0.009374666027724743,-1.0,-1.0
2016-07-29,0.01167228460931382,-0.010147699154913425,1.0,-1.0
2016-08-01,-0.005527376230937697,-0.0114987688139081,-1.0,-1.0
2016-08-02,-0.01914351205955737,-0.01276091206818819,-1.0,-1.0
2016-08-03,0.001782367253741001,-0.009982301853597164,1.0,-1.0
2016-08-04,-0.0014851410472630244,-0.007930935360491276,-1.0,-1.0
2016-08-05,-0.0071598231939927,-0.009604054503142834,-1.0,-1.0
2016-08-08,-0.003899853615434182,-0.009775528684258461,-1.0,-1.0
2016-08-09,0.001201686582985988,-0.011184779927134514,1.0,-1.0
2016-08-10,-0.007533577113408478,-0.010076535865664482,-1.0,-1.0
2016-08-11,-0.005155601974974726,-0.011174233630299568,-1.0,-1.0
2016-08-12,-0.008856361237525702,-0.007614884525537491,-1.0,-1.0
2016-08-15,-0.0003066156312699016,-0.003989511169493198,-1.0,-1.0
2016-08-16,-0.015149649149484658,-0.006959489546716213,-1.0,-1.0
2016-08-17,-0.005623121630494886,-0.008912152610719204,-1.0,-1.0
2016-08-18,0.0053116337555661,-0.009349063038825989,1.0,-1.0
2016-08-19,-0.00970733141678465,-0.006855180487036705,-1.0,-1.0
2016-08-22,-0.00031465696651418283,-0.0006093068514019251,-1.0,-1.0
2016-08-23,0.003142668326857397,-0.00472536776214838,1.0,-1.0
2016-08-24,-0.0006277633075318273,-0.005625813268125057,-1.0,-1.0
2016-08-25,0.005010914959379597,-0.007891746237874031,1.0,-1.0
2016-08-26,-0.005010914959379633,-0.0021887572947889566,-1.0,-1.0
2016-08-29,0.012480614853083284,-0.005520387552678585,1.0,-1.0
2016-08-30,-0.0012410816599517413,-0.006262859329581261,-1.0,-1.0
2016-08-31,0.0,-0.004095348529517651,0.0,-1.0
2016-09-01,-0.007478978960842234,-0.003712778678163886,-1.0,-1.0
